BACKFILL-0001	Big Muff Pi	Electro-Harmonix	Variant family mapping	HIGH	Map Triangle/Ram's Head/Red & Black/Op-Amp/3034/Russian/modern identities into generation records; preserve graphics and electronics separately.
BACKFILL-0002	King Of Tone	Analog Man	Generation mapping	HIGH	Establish V2/V3/V4 external identification markers and specimen-sensitive configuration differences.
BACKFILL-0003	Dookie Drive	MXR / Dunlop	Generation mapping	MEDIUM	Map DD25/DD25V2/DD25V3/DD25V4 and determine which differences are artwork, controls, circuit, or production.
BACKFILL-0004	Iron Horse LM308 Distortion	Walrus Audio	Generation mapping	HIGH	Map pre-V3 versions against V3 control/jack/relay/clipping changes and keep 2023 limited editions separate.
BACKFILL-0005	Voyager Preamp/Overdrive	Walrus Audio	Generation mapping	HIGH	Connect original Voyager to MKII and document the expanded mid EQ, five-way voicing selector, and artwork variants.
BACKFILL-0006	Life Pedal	EarthQuaker Devices / Sunn O)))	Generation mapping	HIGH	Complete V1/V2/V3 identification table with octave, clipping, boost, enclosure, artwork and edition evidence.
BACKFILL-0007	Morning Glory	JHS Pedals	Generation mapping	HIGH	Complete V1-V4 external identification guide and separate redesign, artwork, and functional changes.
BACKFILL-0008	Pugilist Distortion	Fender	Generation mapping	HIGH	Document original versus V2 controls, switching, jacks and enclosure markers.
BACKFILL-0009	Santa Ana Overdrive	Fender	Generation mapping	HIGH	Document original versus V2 control surface, EQ placement, multiswitch, bypass and enclosure markers.
BACKFILL-0010	The Pelt Fuzz	Fender	Generation mapping	HIGH	Document original versus V2 control/switching/footswitch/bypass and enclosure markers.
