record_id	marketed_identity	model_or_family	country	period	physical_builder_candidate	relationship_type	confidence	status	evidence_summary	source_1	source_2
US-LIMMCO-050	Kimberly	Fuzz Box and Volume Expander v1	USA	fall 1966-1967	LIMMCO warehouse / in-house initial build	physical manufacture	HIGH	RESEARCH_VALIDATED	Tone Machines attributes the initial Fall 1966 Kimberly Buzz Box and Volume Expander to LIMMCO warehouse production based on owner Bob Seidman's account. The same research says resource demands led LIMMCO to hire a third party, with later Applied and UMI stages kept separate.	https://www.tonemachinesblog.com/2024/09/limmco-owner-bob-seidman-interview.html	https://www.tonemachinesblog.com/2025/09/
US-LIMMCO-051	Kimberly	Fuzz Box and Volume Expander v2	USA	1967-later 1960s	Applied Audio Products, Inc.	OEM / production transition	HIGH	RESEARCH_VALIDATED	Effects Database explicitly separates a v1 by LIMMCO from a v2 by Applied. Tone Machines independently places Applied in the interim between the initial LIMMCO build and later UMI production.	https://www.effectsdatabase.com/model/kimberly/fuzzbox	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-LIMMCO-052	Kimberly	Fuzz Box and Volume Expander later state	USA	late 1960s	UMI / United Musical Industries	OEM / production transition	MEDIUM	RESEARCH_ONLY	Tone Machines states that the Kimberly fuzz later went through another redesign, most likely by UMI, which then produced the pedals through the end of the run. This is qualified because the exact transition date is not independently anchored to a period primary source.	https://www.tonemachinesblog.com/2025/09/	https://www.effectsdatabase.com/model/umi/buzztone
US-LIMMCO-053	Nomad	Banshee Fuzz	USA	1968-late 1960s	Applied Audio Products, Inc.	OEM / house-brand state	HIGH	RESEARCH_VALIDATED	Tone Machines identifies Nomad Banshee Fuzz as an Applied Audio product and notes that Nomad functioned as a LIMMCO house brand. Manufacturing dates remain uncertain, so this record does not assign a more precise production window.	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-LIMMCO-054	Nomad	Super Fuzz	USA	possibly late 1966-1967	unknown	possible OEM / unresolved	LOW	HOLD_FOR_REVIEW	The pedal appears to be a genuine early Nomad-branded germanium Fuzzrite-type product, but current evidence does not prove a Mosrite transaction, LIMMCO factory role, or Applied Audio manufacture. It must remain isolated from later Nomad Applied products.	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.effectsdatabase.com/model/nomad/superfuzz
US-LIMMCO-055	Nomad	Tone Booster	USA	late 1960s-early 1970s	UMI / United Musical Industries	OEM / marketed-label state	MEDIUM	RESEARCH_ONLY	Effects Database catalogs a Nomad Tone Booster as Nomad by UMI. This supports a UMI-linked product state but does not establish UMI as the maker of the Nomad brand generally.	https://www.effectsdatabase.com/type/boost/bass	https://www.effectsdatabase.com/type/boost/treble
US-LIMMCO-056	Goya	Panther Box Fuzz-Tone and Treble Boost	USA	spring 1967 onward	Applied Audio Products, Inc.	OEM / marketed-label state	HIGH	RESEARCH_VALIDATED	Tone Machines identifies the Goya Panther Box as the hard-evidence anchor for the Applied Audio fuzzy/treble booster family and points to its Spring 1967 release. This model therefore remains distinct from the weaker Goya Boom Box and Fury Box candidates.	https://www.tonemachinesblog.com/2025/09/	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-LIMMCO-057	Goya	Boom Box	USA	late 1960s	Applied Audio Products, Inc. candidate	OEM candidate	MEDIUM	RESEARCH_ONLY	Tone Machines groups the Goya Boom Box with the Applied Audio OEM neighborhood, but the present evidence is not sufficient to promote it to the same level as the Panther Box.	https://www.tonemachinesblog.com/2025/09/	
US-LIMMCO-058	Goya	Fury Box	USA	late 1960s	Applied Audio Products, Inc. candidate	OEM candidate	MEDIUM	RESEARCH_ONLY	Tone Machines groups the Goya Fury Box with the Applied Audio OEM neighborhood, but the present evidence is not sufficient to promote it to the same level as the Panther Box.	https://www.tonemachinesblog.com/2025/09/	
US-LIMMCO-059	Conrad	Buzz Box and Volume Expander	USA	late 1960s-1970s	UMI / United Musical Industries	OEM / marketed-label state	MEDIUM	RESEARCH_ONLY	Effects Database explicitly lists Conrad Buzz Box and Volume Expander with UMI-related products, and specialist discussion identifies the Conrad as closely related to the UMI Buzz Tone. The available evidence supports a UMI family relationship but does not by itself establish the exact factory chronology.	https://www.effectsdatabase.com/model/conrad/buzzbox	https://www.freestompboxes.org/viewtopic.php?t=6685
US-LIMMCO-060	Apollo	No. 843 Buzz Box and Volume Expander	USA	late 1960s-1970s	UMI / United Musical Industries	OEM / marketed-label state	MEDIUM	RESEARCH_ONLY	Effects Database lists Apollo No. 843 as a UMI-related version alongside Kimberly and Conrad. The model is therefore preserved as a separate marketed state rather than merged into the Kimberly identity.	https://www.effectsdatabase.com/model/kimberly/fuzzbox	https://www.effectsdatabase.com/model/umi/buzztone
US-LIMMCO-061	Audio Designs	Fuzzound	USA	late 1960s	Applied Audio Products, Inc.	OEM / marketed-label state	MEDIUM	RESEARCH_ONLY	Effects Database and specialist reconstruction work place Audio Designs Fuzzound in the Applied Audio family. The present ledger keeps this separate from Kimberly because shared circuit family does not establish identical production dates or enclosure state.	https://www.effectsdatabase.com/model/kimberly/fuzzbox	https://www.diystompboxes.com/smfforum/index.php?topic=105350.0
