canonical_builder	catalog_status	model_or_label	role	category	known_years_or_corridor	relationship_notes	evidence_state	source_trail
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Applied Fuzz and Treble Booster FT-100	own-market product	fuzz/treble boost	early 1968 onward; 1968 ads documented	Core Applied-branded fuzz/treble booster. St. Louis Music Supply distribution catalogs from 1968 are the present earliest print evidence cited by Tone Machines Blog.	VERIFIED_FOR_EXISTENCE;DATE_CORRIDOR_QUALIFIED	Tone Machines Blog, "Applied Fuzz and Treble Booster FT-100" (2025-09-11); Billboard 1968 company listing
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Applied Big Fuzz	own-market product	fuzz	1968-era	Explicitly named in a 1968 factory/article account describing effects production at the Trans-Tek/South Plainfield facility. Exact retail catalog/model relationship to FT-100 remains to be reconciled.	VERIFIED_FOR_EXISTENCE;RELATIONSHIP_UNRESOLVED	Tone Machines Blog, 2025 Applied article; Worldradiohistory/Billboard 1968 company records
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Applied Rogue Fuzz	own-market product	fuzz	late 1960s-early 1970s; seller-bought-new evidence points to 1973	Distinct Rogue product. Effects Database records it as Applied and notes the same enclosure family as the Hohner MF-50 Tri Dirty Booster while the circuit/product identity remains separate.	VERIFIED_FOR_EXISTENCE;DATE_CORRIDOR_QUALIFIED	Effects Database, Applied Rogue Fuzz; Tone Machines Blog, 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Applied Banshee Fuzz	own-market product/family member	fuzz	circa 1968-early 1970s	Rare Banshee variant also appears under Nomad branding. Treat Nomad as a marketed/distributor layer unless stronger corporate evidence emerges. Same general manufacturing lineage as Applied Rogue is documented, but exact production sequence is unresolved.	VERIFIED_FOR_EXISTENCE;OEM_BRAND_RELATIONSHIP_PARTIAL	Effects Database, Applied Banshee Fuzz; Tone Machines Blog, "The Bansheeeeeeeeeeeeee!" (2023)
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Nomad Rogue Fuzz	OEM/private-label state	fuzz	late 1960s-early 1970s	Nomad-branded version associated with Applied Audio and LIMMCO distribution. Keep Nomad as marketed/distribution identity, Applied as builder candidate/evidence-qualified manufacturer.	VERIFIED_RELATIONSHIP	Effects Database, Nomad (by Applied) / Rogue; Tone Machines Blog 2024 Nomad/Rosac article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Nomad Banshee Fuzz	OEM/private-label state	fuzz	circa 1968 onward	Nomad-branded Banshee; LIMMCO distribution relationship is documented by Tone Machines Blog. Exact chronology versus Applied-branded Banshee remains unresolved.	VERIFIED_RELATIONSHIP	Effects Database, Nomad (by Applied) Banshee; Tone Machines Blog 2023/2025 Applied research
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Goya Panther Fuzz	OEM/private-label state	fuzz	1967-1968 corridor	Tone Machines Blog identifies post-1966 Goya effects as Applied-made based on enclosure/build/component and layout comparison. Treat as strong attribution, not as a Goya factory product.	EVIDENCE_QUALIFIED	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Goya Boom Box	OEM/private-label state	boost/distortion boundary	1968	Listed by Tone Machines Blog among Applied effects added to Goya's lineup in 1968. Preserve as Goya-marketed product with Applied manufacturing attribution.	EVIDENCE_QUALIFIED	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Goya Fury Box	OEM/private-label state	fuzz/distortion	1968	Listed by Tone Machines Blog among Applied effects added to Goya's lineup in 1968.	EVIDENCE_QUALIFIED	Tone Machines Blog, September 2025 Applied article
Applied Audio Products Inc.	EVIDENCE_QUALIFIED	Goya Power Box	OEM/private-label state	boost	1969	Listed by Tone Machines Blog as a 1969 Goya addition; described as an early LPB-1-style copy. Keep as dirt-adjacent boost rather than inflate central fuzz count.	EVIDENCE_QUALIFIED	Tone Machines Blog, September 2025 Applied article
