flag_id	builder	model_or_product	variation_flag	variation_type	confidence	flag_summary	deep_research_priority	sources
VAR-001	Claybridge Sound Systems	Fuzz Box / pre-Fuzzmaster	YES	family/revision	HIGH	An early two-control Claybridge fuzz box is documented before the named Fuzzmaster. Treat as a distinct pre-Fuzzmaster production state pending full chronology.	P0	https://www.tonemachinesblog.com/2024/03/claybridge-pre-fuzzmaster.html
VAR-002	Claybridge Sound Systems	Fuzzmaster	YES	enclosure/component/control	HIGH	Surviving Claybridge research distinguishes the original Fuzzmaster from later Wildcat and MKIV states; control count, enclosure geometry and transistor populations differ across surviving specimens.	P0	https://www.tonemachinesblog.com/2023/01/in-search-of-the-australian-fuzzmaster.html
VAR-003	Claybridge Sound Systems	Fuzzmaster Wildcat	YES	enclosure/artwork/component	HIGH	Wildcat is a distinct named production state with different enclosure proportions, faceplate treatment, knobs and BC109 transistor implementation compared with the earlier green Fuzzmaster and MKIV.	P0	https://www.tonemachinesblog.com/2023/01/in-search-of-the-australian-fuzzmaster.html
VAR-004	Claybridge Sound Systems	Fuzzmaster MKIV	YES	model revision/enclosure	HIGH	MKIV is a distinct named state in the surviving Fuzzmaster sequence. Existing research indicates it is related to, but not identical with, earlier Claybridge fuzz states.	P0	https://www.tonemachinesblog.com/2023/03/
VAR-005	Fi-Sonic	Fuzz Blender	YES	model revision/format	HIGH	A surviving early amp-top Fuzz Blender lacks the MKIV designation and uses a different physical format from the later MKIV stompbox. Whether it represents V1, an earlier family member, or another product state remains unresolved.	P0	https://www.tonemachinesblog.com/2024/07/fi-sonic-fuzz-blender-other-australian.html
VAR-006	Fi-Sonic	Fuzz Blender MKIV	YES	model revision	HIGH	The MKIV designation implies earlier revisions may have existed, and historical research explicitly raises the unresolved possibility of MKII and MKIII. No complete sequence is currently established.	P0	https://www.tonemachinesblog.com/2024/07/fi-sonic-fuzz-blender-other-australian.html
VAR-007	Chicago Musical Instruments / Maestro	Fuzz-Tone FZ-1	YES	production period/factory	HIGH	The FZ-1 family crosses documented production contexts and later revisions. Existing census work already separates FZ-1, FZ-1A and FZ-1B; specimen-level differences should be logged before collapsing early units into one visual state.	P0	https://www.effectsdatabase.com/model/maestro/fz1	https://www.maestroelectronics.com/en-US/Page/maestro-timeline
VAR-008	Rosac Electronics	Nu-Fuzz	YES	branding/module/enclosure	HIGH	Surviving Nu-Fuzz specimens show Sierra/Rosac branding transitions, different module versus eyelet-board construction, and differing knob/logo treatments. These may represent transitional production states rather than simple cosmetic options.	P0	https://www.tonemachinesblog.com/2025/06/rosac-nu-fuzz-chaos-of-order.html
VAR-009	Rosac Electronics	Nu-Wa / Nu-Wa-Fuzz	YES	production state/OEM module	MEDIUM	Early Rosac ads identify multiple related products and surviving examples show the same Sierra-labeled Sprague module supply issue seen in Nu-Fuzz. Treat as a cross-model production-transition flag, not yet separate generations.	P1	https://www.tonemachinesblog.com/2025/06/rosac-nu-fuzz-chaos-of-order.html
VAR-010	Wilsic Electronics / John Hornby Skewes	Zonk Machine	YES	model/production state	MEDIUM	Zonk Machine and Zonk Machine II are already distinct catalog records. Additional specimen-level enclosure and production differences should be examined before treating all Zonk Machine examples as one state.	P1	https://www.vintageguitar.com/23068/hornby-skewes-zonk-machines/
