entity_type	brand	product_family	variant	period	variant_axis	identification_markers	evidence_level	sources	notes
modern_variant	JHS Pedals	Morning Glory	V4	2016-present	Production + feature + appearance	Small pedal enclosure; side-mounted hi-cut; gain toggle; Red Remote capability; later rebranded icon/font can be cosmetic	VERIFIED	https://jhspedals.info/products/morning-glory ; https://jhspedals.info/blogs/news/the-story-of-the-morning-glory	JHS identifies V4 as the current production version and explains the transition from V3. The current page records the feature differences explicitly.
modern_variant	JHS Pedals	Morning Glory	V3	2010-2015	Appearance + feature transition	Small enclosure; bright-cut toggle added; later stamped artwork/icon changes; PCB transition during V3 period	VERIFIED	https://jhspedals.info/blogs/news/the-story-of-the-morning-glory	JHS states V3 used the same exact circuit board as the preceding transition unit and sounded identical, making this a key example of why enclosure/production transitions must not automatically be treated as tonal revisions.
modern_variant	JHS Pedals	Morning Glory	V2	pre-2010/early period	Appearance	Smaller current-style enclosure; gold powder coat	VERIFIED	https://jhspedals.info/products/morning-glory	JHS current product page provides the concise version history. Exact calendar dating should be reconciled against the long-form history before final catalog dates are frozen.
modern_variant	JHS Pedals	Morning Glory	V1	pre-2010	Appearance + control layout	Larger white enclosure; black knobs; no bright-cut switch; no logo	VERIFIED	https://jhspedals.info/products/morning-glory	JHS current page provides direct identification markers. Hand-painted examples also existed across V1-V4 and should be treated as editions/specimens rather than separate generations unless stronger evidence says otherwise.
modern_variant	JHS Pedals	Double Barrel	V4	modern production	Product composition + hardware	Updated Moonshine V2 side paired with Morning Glory V4; top-mounted jacks	VERIFIED	https://jhspedals.info/products/double-barrel-v4	The Double Barrel shows why a multi-circuit product needs its own lineage while also linking component product families to the parent product.
modern_variant	Walrus Audio	Iron Horse	2025 Thunder Horse Edition	2025	Limited edition / appearance	2025 limited celebration edition; same Iron Horse family with special colorway/name treatment	VERIFIED	https://www.walrusaudio.com/products/2025thunderhorse	Walrus explicitly calls this the 2025 Thunder Horse Edition. Keep it as an edition linked to the Iron Horse V3 family, not as a wholly separate design.
modern_variant	Walrus Audio	Iron Horse	V3	modern production	Product generation	Current Iron Horse family; LM308 Distortion; current product page documents V3 and its control behavior	VERIFIED	https://www.walrusaudio.com/products/2025thunderhorse	2025 special edition is explicitly derived from the current Iron Horse. Full V1/V2 chronology still needs dedicated archival capture.
modern_variant	EarthQuaker Devices	Acapulco Gold	V2	modern production	Product generation	Manufacturer maintains separate V1 and V2 manuals; current device page includes V1/V2 sample references and current specs	VERIFIED	https://www.earthquakerdevices.com/manuals ; https://www.earthquakerdevices.com/acapulco-gold	Exact external identification differences between V1 and V2 should be extracted from the revision-specific manuals/images before declaring the visual variant map complete.
modern_variant	EarthQuaker Devices	Sunn O))) Life Pedal	V3	modern production	Product generation	Manufacturer maintains V1, V2 and V3 manuals	VERIFIED	https://www.earthquakerdevices.com/manuals	High-priority modern variant family. Need dedicated manual-to-manual comparison and visual specimen capture.
modern_variant	EarthQuaker Devices	Speaker Cranker	V2	modern production	Product generation	Manufacturer maintains separate V1 and V2 manuals	VERIFIED	https://www.earthquakerdevices.com/manuals	High-priority modern variant family. Dedicated revision comparison pending.
