record_id	brand	model_name	variant_or_state	period	kind	differences	evidence_status	source_url	note
REC-136	DOD	FX57 Hard Rock Distortion	1987 catalog state	1987	Model / chronology	DOD's dated 1987 fold-out catalog explicitly lists FX57 among the contemporary FX-series pedals.	VERIFIED	https://www.americaspedals.net/cat.html	Catalog presence is the chronology anchor.
REC-137	DOD	FX67 Flanger	1988 catalog state	1988	Lineage / context	The 1988 DOD catalog adds FX67 to the FX-series, useful as a surrounding product-era marker even though it is modulation rather than dirt.	VERIFIED	https://www.americaspedals.net/cat.html	Context-only record; not counted as dirt.
REC-138	DOD	FX87 Freestyle	1987-1988	Model / chronology	AmericasPedals preserves an FX87 listing in the Spanish-language 1987-88 DOD catalog, providing evidence for the late first-generation FX identity.	RESEARCH	https://www.americaspedals.net/cat.html	Exact function and production span need a cleaner primary catalog image.
REC-139	BOSS	OS-2 OverDrive/Distortion	Original compact state	1988-present	Model / lineage	Historical BOSS references place OS-2 in the late-1980s compact era as a combined overdrive/distortion model.	RESEARCH	https://www.boss.info/us/products/os-2/	Keep as a distinct hybrid model rather than folding it into OD or DS families.
REC-140	Ibanez	ST9 Super Tube Screamer	European market state	1985	Regional / model	Analog Man documents the ST9 as a rare Super Tube Screamer associated with European sales during the 1985 9-series transition.	RESEARCH	https://www.analogman.com/tshist.htm	Regional-market claim should remain separate from general 9-series chronology.
REC-141	ProCo	Vintage RAT Reissue	Retro reissue state	1991-2005	Model / chronology	Historical ProCo references date the Vintage RAT reissue from 1991 through 2005, distinct from continuously produced RAT2 and Turbo RAT lines.	RESEARCH	https://griffineffects.com/files/articles/rathistory/rathistory.php	Reissue, not original 1979-83 production.
REC-142	ProCo	BRAT	Budget RAT state	1997-2001	Model / positioning	Historical RAT family references date the BRAT to 1997-2001 as ProCo's lower-cost branch, alongside the Guitar Center Roadkill variant.	RESEARCH	https://www.samash.com/spotlight/brief-history-of-pro-co-RAT/	Roadkill and BRAT should remain linked but separately named.
REC-143	ProCo	You Dirty RAT	Germanium clipping variant	2004-present	Model / lineage	JHS documents You Dirty RAT as the standalone successor to the Deucetone's Dirty RAT mode, released in 2004.	RESEARCH	https://jhspedals.info/blogs/news/proco-rat-pedal-myths-history-and-timeline	Public archive records the product distinction without publishing circuit reconstruction.
REC-144	Yamaha	FX550 Guitar Effect Processor	Rack digital distortion state	1980s-1990s	Digital / rack	Surviving references document the FX550 as a Japanese half-rack digital guitar processor with dedicated digital distortion and overdrive effect types.	RESEARCH	https://reverb.com/ca/item/99843644-yamaha-fx550-guitar-effect-processor-w-power-supply-new-internal-battery	Use rack-format identification and digital-effect presence as the external layer.
REC-145	Roland	GP-8 Guitar Effects Processor	1987 programmable rack state	1987	Digital / rack	Contemporary historical accounts place the Roland GP-8 in 1987 as a programmable 1U multi-effects processor with built-in analog BOSS-family distortion among its effects.	RESEARCH	https://note.com/dune23/n/n97b9ffd02af7	Useful bridge between stompbox and rack-era dirt; not a single dedicated distortion product.
