REC-068	Maestro	Fuzz-Tone FZ-1A	Kalamazoo / Lincolnwood production	1965-1968	Generation / production transition	The FZ-1A revised the original FZ-1 after the 1965 demand surge; production began in Kalamazoo and later moved to Lincolnwood, Illinois.	VERIFIED	https://www.effectsdatabase.com/model/maestro/fz1	Preserve factory/location changes as identification evidence; do not infer exact serial cutoffs without specimen support.
REC-069	Maestro	Fuzz-Tone FZ-1B	Original silicon-era redesign	1968-1970	Generation / production transition	The FZ-1B followed the FZ-1A in 1968 with a materially different presentation and silicon-era production; it should be treated as a distinct generation.	VERIFIED	https://www.guitarworld.com/features/history-of-the-maestro-fz1	Keep FZ-1B separate from the germanium FZ-1/FZ-1A lineage while retaining family linkage.
REC-070	Baldwin-Burns	Buzzaround	Original	1966-1969	Foundational chronology	The Buzzaround was named in a Burns price list in April 1966; surviving examples indicate production continued into early 1969.	VERIFIED	https://fuzzboxes.org/buzzaround	The historical record does not support a neat tiny production run; preserve the evidence window and serial uncertainty.
REC-071	Baldwin-Burns	Buzzaround	Early footswitch state	1966	Specimen / generation	Some of the earliest surviving Buzzarounds use non-latching footswitches, making switch behavior and enclosure details useful specimen clues.	VERIFIED	https://fuzzboxes.org/buzzaround	Do not invent a separate two-knob model from period press language; no surviving example establishes that version.
REC-072	G. P. Electronics	Harmonic Generator	Mid-1960s	Lineage / precedent	Research on the Buzzaround identified the obscure G. P. Electronics Harmonic Generator as an earlier source design that the Buzzaround appears to have copied without authorization.	VERIFIED	https://fuzzboxes.org/buzzaround	Record the relationship as documented historical lineage, not as a modern schematic or cloning guide.
REC-073	Colorsound / Sola Sound	Power Boost	Late 1960s-early 1970s	Generation / branding	The late-1960s Orange Power Boost evolved into the Colorsound Power Boost family and later related Overdriver branding.	VERIFIED	https://www.effectsdatabase.com/model/colorsound/overdriver	Treat Power Boost and Overdriver as closely related retail states; preserve enclosure/branding transitions.
REC-074	Colorsound / Sola Sound	Overdriver	Early 1970s	Generation / branding	The Overdriver emerged from the Power Boost line and was rehoused in a grey hammerite case for the U.S. market after the orange Power Boost presentation.	VERIFIED	https://www.effectsdatabase.com/model/colorsound/overdriver	Use the enclosure and branding change as external identification evidence.
REC-075	Electro-Harmonix	Muff Fuzz	1969 compact predecessor	1969	Chronology / precursor	Mike Matthews identifies Muff Fuzz as an earlier dirt product sold before the larger Big Muff Pi, establishing it as a separate predecessor rather than a Big Muff variant.	VERIFIED	https://www.ehx.com/topic/big-muff-history-mike-matthews-and-jimi-hendrix/	Keep the product family distinct while linking the chronology to Electro-Harmonix's early catalog.
REC-076	Electro-Harmonix	Big Muff Pi	Triangle era	1969-1970s	Generation / specimen	The earliest Big Muff examples are associated with the triangular control layout and plain-metal enclosure before the later graphic generations.	RESEARCH	https://www.kitrae.net/music/big_muff_history.html	Component date codes can predate assembly because parts were purchased in bulk; enclosure, graphics and documented sales evidence are stronger combined clues.
REC-077	Ampeg	Scrambler	Original	1969	Foundational chronology	The Ampeg Scrambler entered the effects market in 1969 as an unconventional fuzz/distortion product and was produced in a heavy cast enclosure.	VERIFIED	https://www.effectsdatabase.com/model/ampeg/scrambler	Original production is historically distinct from the mid-2000s SCP-OD reissue.
REC-078	Ampeg	Scrambler	Original production quantity lead	1969	Production evidence	Effects Database reports approximately 2,500 original Scrambler units, reflecting its limited commercial run and later collector rarity.	RESEARCH	https://www.effectsdatabase.com/model/ampeg/scrambler	Treat the quantity as a research-layer estimate until corroborated by primary Ampeg records.
REC-079	Jordan	1000 Boss Tone	Sho-Sound licensed states	Late 1960s-1970s	OEM / production lineage	The Jordan Boss Tone was a compact direct-plug fuzz module; later licensed Sho-Sound production continued the family in multiple versions.	RESEARCH	https://www.effectsdatabase.com/model/jordan/bosstone	Preserve Jordan and Sho-Sound as linked production states rather than flattening all versions into one specimen.
REC-080	Jordan	1000 Boss Tone	Sho-Sound second-generation state	1970s	Generation / production state	Research references distinguish multiple Jordan/Sho-Sound generations and locations, including Nashville-era Sho-Sound production.	RESEARCH	https://www.effectsdatabase.com/model/jordan/bosstone	Exact year boundaries between versions require specimen-level reconciliation.
