builder	model	category	status	era_source	primary_discovery_source	relationship_or_variant_note
Electronic Audio Experiments	µ Blaster	boost/overdrive	INDEXED	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Include as dirt-adjacent boundary with overdrive role.
Electronic Audio Experiments	Citadel - JFET Master Lead	distortion/overdrive	INDEXED	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Modern EAE core dirt product.
Electronic Audio Experiments	Dagger	overdrive/distortion	INDEXED	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Core dirt product; exact category should follow product documentation.
Electronic Audio Experiments	Dude Incredible	fuzz	INDEXED	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Core dirt product.
Electronic Audio Experiments	Glaive	distortion	INDEXED	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Modern dirt product; retain any version states later found.
Electronic Audio Experiments	Greathammer - Solidstate Bass Drive	bass overdrive/distortion	INDEXED	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Bass dirt belongs in archive dirt scope.
Electronic Audio Experiments	Halberd - Discrete Transistor Overdrive	overdrive	INDEXED	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Core EAE overdrive family; watch for version/revision states.
Electronic Audio Experiments	Limelight - Dual Channel Overdrive	overdrive	INDEXED	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Dual-channel dirt product.
Electronic Audio Experiments	Longsword	distortion	INDEXED	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Core distortion family.
Electronic Audio Experiments	Model feT - Model T Preamp	preamp/drive boundary	BOUNDARY	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Keep searchable but exclude from central dirt count unless dirt role is established.
Electronic Audio Experiments	Prismatic Wall	fuzz/distortion candidate	CANDIDATE	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Needs model-level category verification before promotion.
Electronic Audio Experiments	Surveyor	overdrive/distortion candidate	CANDIDATE	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Capture as candidate pending product-specific evidence.
Electronic Audio Experiments	The Bard	boost/drive boundary	BOUNDARY	2010s-present	https://www.effectsdatabase.com/model/electronicaudioexperiments	Retain while determining whether central dirt classification is warranted.
Electronic Audio Experiments	x Benson Amps Halberd + Germanium Boost	overdrive/boost	COLLABORATION	2020s	https://www.effectsdatabase.com/model/electronicaudioexperiments	Cross-builder collaboration; preserve EAE and Benson identities.
Electronic Audio Experiments	x Mask Audio Electronics Eldritch Blast	fuzz	COLLABORATION	2020s	https://www.effectsdatabase.com/model/electronicaudioexperiments	Cross-builder fuzz collaboration.
Electronic Audio Experiments	x Obstructures 0xEAE Bass Driver	bass dirt	COLLABORATION	2020s	https://www.effectsdatabase.com/model/electronicaudioexperiments	Cross-builder bass dirt collaboration.
Electronic Audio Experiments	x Obstructures 0xEAE Boost	boost	BOUNDARY	2020s	https://www.effectsdatabase.com/model/electronicaudioexperiments	Keep outside central dirt count unless overdrive role is established.
Electronic Audio Experiments	x Obstructures 0xEAE Fuzz	fuzz	COLLABORATION	2020s	https://www.effectsdatabase.com/model/electronicaudioexperiments	Cross-builder fuzz collaboration.
Fairfield Circuitry	20% More - Slew Limiting Distortion	distortion	INDEXED	2010s-present	https://www.effectsdatabase.com/model/fairfield	Dedicated distortion model.
Fairfield Circuitry	Barbershop	overdrive	INDEXED	2010s-present	https://www.effectsdatabase.com/model/fairfield	Core Fairfield overdrive family.
Fairfield Circuitry	Four Eyes Fuzz	fuzz	INDEXED	2010s-present	https://www.effectsdatabase.com/model/fairfield	Core fuzz product.
Fairfield Circuitry	Long Life	dirt candidate	CANDIDATE	2010s-present	https://www.effectsdatabase.com/model/fairfield	Capture before classification is finalized.
Fairfield Circuitry	Modèle B	dirt candidate	CANDIDATE	2010s-present	https://www.effectsdatabase.com/model/fairfield	Needs product-level category verification.
Fairfield Circuitry	The Unpleasant Surprise	fuzz/distortion	INDEXED	2010s-present	https://www.effectsdatabase.com/model/fairfield	Core Fairfield dirt product.
Fairfield Circuitry	~900 - Four Knob Fuzz	fuzz	INDEXED	2010s-present	https://www.effectsdatabase.com/model/fairfield	Preserve tilde naming exactly; likely important for searches.
Mid-Fi Electronics	Abominable x Mid-Fi Electronics Skullmulcher	fuzz	COLLABORATION	2000s-present	https://www.effectsdatabase.com/model/midfi	Cross-builder collaboration.
Mid-Fi Electronics	Demo Tape Fuzz	fuzz	INDEXED	2000s-present	https://www.effectsdatabase.com/model/midfi	Obscure modern fuzz; photo priority.
Mid-Fi Electronics	Fuzz Wall	fuzz	INDEXED	2000s-present	https://www.effectsdatabase.com/model/midfi	Core dirt product.
Mid-Fi Electronics	Magick I - Overdrive	overdrive	INDEXED	2000s-present	https://www.effectsdatabase.com/model/midfi	Core overdrive.
