name	entity_type	region	era_bucket	dirt_evidence	research_status	priority	relationship_notes	source_refs
Anasounds	Builder	France	2013-present	Feed Me; Centaur; Cerberus	CANONICAL_BASELINE	P0	Company history distinguishes 2013 visual/design development, 2014 company formation and first engineering, and 2015 original-design work. Do not backdate the legal company to 2013.	https://anasounds.com/about-us/tone-quest/
SviSound	Builder	Bulgaria	2014-present	OverZoid; MetalZoid; Si Fuzz; Ge Boost	CANONICAL_BASELINE	P0	Effects Database gives 2014 documentary anchors; current maker sources show multiple later OverZoid/Ge Fuzz states. Keep maker entity distinct from later retail variants.
Tone Hungry Effects	Builder	Canada?	2014-present?	Hunger Bender; Hot Molasses; Treble Master	DISCOVERED_BASELINE	P1	2014 documentary cluster establishes the brand/product set. Geography and full production history require later identity pass.
Pepper Pedals	Builder	Unknown	2014	Ancho; Chimayo; Pimiento	DISCOVERED_BASELINE	P1	2014 weekly archive provides a clean product cluster. Physical manufacturing and builder location unresolved.
Black Cat	Builder	USA?	2014-present	Monster K-Fuzz; D&S; Super Fuzz; N-Fuzz; OD-1; OD-Boost and other gain/fuzz models	CANONICAL_BASELINE	P0	Monster K-Fuzz documentation gives a clear Custom K-Fuzz to regular-line transition with added voicing, diode and input-gain features. Older/later Black Cat catalog needs full chronology.
VauxFlores	Builder / brand	USA / Costa Rica corridor	2013-2017	Gold Standard; Number 23; Number 24; Platano Verde	DISCOVERED_BASELINE	P1	Gold Standard is explicitly a collaboration and was hand-built in small batches. Preserve Costa Rica design/prototype and Baltimore production transition as separate chronology states.
Walker A&E	Builder / brand	Unknown	2014	Black Guts; Cold Shot; Crotaline; Firebird; King Bee; Selfburner	DISCOVERED_BASELINE	P1	Six contemporary products documented in the same Aug. 2014 weekly cluster. Identity, geography and complete catalog need later reconciliation.
Aural Dream	Builder / brand	Unknown	2014	Bold Distortion; Compelling Drive; Intense Distortion; Purely Fuzz; Warm Drive	DISCOVERED_BASELINE	P1	March 2014 archive establishes a five-product dirt cluster; full manufacturing identity unresolved.
Animal Factory Amplification	Builder	USA?	2014-present	Chemical Burn	DISCOVERED_BASELINE	P1	2014 archive documents Chemical Burn as octave fuzz; Jan. 2015 archive confirms the model. Builder chronology needs deeper source work.
Clarenzio	Builder / brand	Italy?	2015	Brine; Sandroun; Spenador; Stremne	DISCOVERED_BASELINE	P1	2015 archive documents distortion, tube overdrive, overdrive and fuzz under one name. Normalize accents cautiously and investigate physical maker identity.
Dolphin's Sound	Builder / brand	Unknown	2015	David; Nettuno; Purgatorio	DISCOVERED_BASELINE	P1	New-brand and product anchors are preserved from 2015 weekly archives. Geography and broader catalog unresolved.
L0/Rez	Builder / brand	Unknown	2015	Cement Lunch; Mona Lisa	DISCOVERED_BASELINE	P1	Sept. 2015 archive documents two overdrives. Treat as discovery baseline until identity and production history are independently established.
