canonical_builder	observed_name	relationship	reconciliation_status	action	notes
Spicetone Music Technology	Spicetone Music Technology	Repeated census entry	MERGE	One canonical builder record	Same builder name and same Estonian production identity appears in multiple census files.
CopperSound Pedals	CopperSound Pedals	Repeated census entry	MERGE	One canonical builder record	Repeated in later census files with the same dirt catalog evidence.
EBS	EBS	Repeated census entry	MERGE	One canonical builder record	Repeated census entry; preserve one builder identity, then enumerate all dirt products once.
Gamechanger Audio	Gamechanger Audio	Repeated census entry	MERGE	One canonical builder record	Repeated Latvia-based builder with Plasma dirt lineage.
Frantone Electronics	Frantone Electronics	Repeated census entry	MERGE	One canonical builder record	Repeated builder discovery; retain one canonical entity and consolidate evidence.
A3 Stompbox	A3 Stompbox	Repeated census entry	MERGE	One canonical builder record	Repeated South Korean builder candidate.
FengzaiPedals	FengzaiPedals	Repeated census entry	MERGE	One canonical builder record	Repeated Chinese handmade-builder entry.
Amuzik	Amuzik	Repeated census entry	MERGE	One canonical builder record	Repeated Chinese manufacturer candidate; attribution questions stay in the same builder record.
Systech	Systech	Repeated census entry	MERGE	One canonical builder record	Repeated historical Kalamazoo builder; product lineage remains attached to one entity.
FBT	FBT	Repeated census entry	MERGE	One canonical builder record	Repeated Italian historical manufacturer with A-608-B Distorsion and Fuzz FF III evidence.
Cause & Effect Pedals / CE Pedals	Cause & Effect Pedals	Canonical plus shortened name	ALIAS	Canonical name: Cause & Effect Pedals / CE Pedals	CE Pedals is the shortened market form; do not create a second builder card.
Cause & Effect Pedals / CE Pedals	CE Pedals	Alias / shortened brand	ALIAS	Attach as alias to canonical builder	FET Dream lineage should remain under the canonical entity.
Chase Bliss Audio / Chase Bliss	Chase Bliss	Current shortened brand name	ALIAS	Canonical builder should preserve both names	Use one builder entity with Chase Bliss Audio and Chase Bliss as historical/current naming where evidence supports it.
Chase Bliss Audio / Chase Bliss	Chase Bliss Audio	Formal/historical company naming	ALIAS	Attach as alias	Do not treat Brothers AM evidence as a third builder; preserve Analog Man as collaboration partner.
Vemuram Custom Pedals	Vemuram	Shortened marketed name	ALIAS	Canonical name: Vemuram Custom Pedals	Keep one Japanese builder entity; product pages may display the shorter market form.
JEN Elettronica	JEN	Shortened/historical brand label	ALIAS	Canonical entity: JEN Elettronica	JEN is a physical manufacturer/OEM lineage and should not be multiplied by every Vox or third-party badge it produced.
Selmer (UK)	Selmer	Historical naming variant	ALIAS	Canonical entity should distinguish UK Selmer from other Selmer identities	Do not merge Selmer US or unrelated entities; use geographic/entity disambiguation.
Audio Monk / Nina Electronics	Nina Electronics	Predecessor brand	SUCCESSOR LINEAGE	One builder lineage with predecessor alias	Archive states Anthony Pelosi first built under Nina Electronics and later changed the name to Audio Monk.
Audio Monk / Nina Electronics	Audio Monk	Successor brand	SUCCESSOR LINEAGE	One builder lineage with predecessor alias	Do not present predecessor and successor as unrelated builders.
ColorTone Fx / Pedal Tank	ColorTone Fx	Predecessor brand	SUCCESSOR LINEAGE	One builder lineage	Catalog products should remain attributable across the naming transition.
ColorTone Fx / Pedal Tank	Pedal Tank	Successor brand	SUCCESSOR LINEAGE	One builder lineage	Preserve the former name on relevant pedal pages when historically useful.
My Dad Is Iggy	My Dad Is Iggy	Same builder across relocation	SINGLE ENTITY	One builder entity with chronology notes	London start and later Milan base are geographic chronology, not separate builders.
Providence	Free The Tone	Related corporate/brand lineage	SEPARATE ENTITIES	Do not merge automatically	Providence is a distinct marketed entity with later relationship to Free The Tone; preserve the lineage graph instead of creating duplicate or synthetic identities.
ThorpyFx	Redbeard Effects	Collaboration relationship	SEPARATE ENTITIES	Do not merge	Bearded Vulture is a collaboration state; collaboration does not make ThorpyFx the manufacturer under the Redbeard name.
Third Man Hardware / Beetronics	Third Man Hardware	Collaboration/brand partner	SEPARATE ENTITIES	Do not merge	Third Man Hardware remains a collaboration/marketing partner in the Old Zoo Lion Meat state.
Third Man Hardware / Beetronics	Beetronics FX	Collaboration/manufacturer lineage	SEPARATE ENTITIES	Do not merge	Beetronics product lineage remains independently searchable.
DOD / Morley	DOD	Collaboration partner	SEPARATE ENTITIES	Do not merge	Wah-ocTo-Fuzz is a combined lineage object spanning DOD and Morley.
DOD / Morley	Morley	Collaboration partner	SEPARATE ENTITIES	Do not merge	Maintain separate DOD and Morley historical identities.
JAM Pedals	Jamés Pedals	Different builders despite similar name	SEPARATE ENTITIES	Keep separate	Jamés is a Swedish one-person builder; JAM Pedals is the Greek Athens builder.
EarthQuaker Devices	EarthQuaker Devices	Repeated appearance in research	MERGE	One canonical builder record	Historical reissues and collaborations belong under the same builder unless evidence establishes a successor entity.
