canonical_builder	identity_status	region	era_bucket	model	category	catalog_status	relationship_notes	source_trail
Herald Electronics	CANONICAL_CANDIDATE	Japan	Late 1960s-1970s	AM-44A Fuzz Master	fuzz	INDEXED_RELATIONSHIP	Model-specific Japanese-made anchor associated with Apollo, LRE, Melos, Mica, Monacor and Olson branding; do not generalize factory attribution beyond this family without evidence	https://www.effectsdatabase.com/model/herald/fuzzmaster
Earth Sound Research	CANONICAL	USA (New York)	1970s	Graphic Fuzz	fuzz	INDEXED_BASELINE_MAPPED	Documented 1976 surviving example and dedicated mid-1970s product record; complete ESR dirt catalog remains open	https://www.tonemachinesblog.com/2011/10/earth-sound-research-graphic-fuzz.html ; https://www.effectsdatabase.com/model/earthsound/graphicfuzz
Bell Electrolabs	CANONICAL	United Kingdom	1975-1982	Fuzz	fuzz	INDEXED_RELATIONSHIP	Stan Wilson identified as Fuzz designer by Tony Koorlander; Bell Fuzz described as an improvement on Big Muff Pi, not an EHX product	https://www.blackguitars.com/bell-electrolabs.html
Gretsch	MARKETED_BRAND_ENTITY	USA	Early 1970s	Expandafuzz	fuzz	INDEXED_RELATIONSHIP	Tone Machines documents 1973 Expandafuzz; Controfuzz is fuzz section; possible JEN/Maestro links remain unproven	https://www.tonemachinesblog.com/2012/06/gretsch-expandafuzz-1973.html
Gretsch	MARKETED_BRAND_ENTITY	USA	Early 1970s	Controfuzz	fuzz	INDEXED_RELATIONSHIP	Fuzz portion of Expandafuzz; factory attribution unresolved	https://www.tonemachinesblog.com/2012/06/gretsch-expandafuzz-1973.html
Kay / Uecks	UNRESOLVED	USA/Japan	1970s	Fuzz Tone	fuzz	DISCOVERY	Kay-branded pedal has strong Japanese component trail; Uecks/Ueki Gakki sold related branding in Japan by June 1976, but builder identity remains unresolved	https://www.tonemachinesblog.com/2026/07/kay-fuzz-tone-what-we-know.html
JEN Elettronica	CANONICAL	Italy	Mid 1970s	FZ-III Fuzz	fuzz	INDEXED_RELATIONSHIP	Pescara-built silicon fuzz; branding states include JEN, FBT, JHS and Ricken's; keep distinct from earlier V828/V8281 germanium family	https://www.tonehome.de/jen/fuzz-fz-iii/ ; https://www.effectsdatabase.com/model/jen/fz3
JEN Elettronica	CANONICAL	Italy	Late 1960s-1970s	Double Sound	fuzz-wah	INDEXED_BASELINE_MAPPED	Italian JEN family with Vox, Dallas Arbiter, Elka, Unicord, Luxor and other export/marketed states	https://www.effectsdatabase.com/model/jen/doublesound
JEN Elettronica	CANONICAL	Italy	1970s	Super Double Sound	fuzz-wah	INDEXED_RELATIONSHIP	Related JEN family state; marketed/export identities vary by model, including Vox and Unicord relationships	https://www.effectsdatabase.com/model/jen/doublesound/super
JEN Elettronica	CANONICAL	Italy	1970s	Luxor Double Sound	fuzz-wah	INDEXED_RELATIONSHIP	Effects Database explicitly identifies JEN Elettronica as manufacturer in Pescara	https://www.effectsdatabase.com/model/luxor/doublesound
Firstman / Hillwood	CANONICAL_LINEAGE	Japan	Late 1970s-1980s	Multivox Big Jam Distortion	 distortion	INDEXED_RELATIONSHIP	Effects Database attributes Japanese OEM production to Firstman for Nihon-Hammond and Multivox distribution; wider Firstman dirt catalog remains unresolved	https://www.effectsdatabase.com/model/multivox/bigjam/distortion
