flag_id	builder	model_or_product	variation_status	variation_type	flag_note	deep_research_priority	source_refs
VAR-075	InterFax Electronics / Ed Giese	HP-1 Harmonic Percolator	CONFIRMED_VARIATION	product / specimen / generation	InterFax HP-1 is the canonical historical Harmonic Percolator product. Historical sources describe multiple early versions, but the archive should retain those as specimen or production-state flags until dated examples can be separated reliably.	P0	https://www.effectsdatabase.com/model/interfax/harmonicpercolator; https://www.tonehome.de/interfax/
VAR-076	InterFax Electronics / Ed Giese	HP-1 Harmonic Percolator	CONFIRMED_RELATIONSHIP	builder attribution	Effects Database and ToneHome independently identify Ed Giese / InterFax Electronics in Milwaukee as the maker of the 1970s Harmonic Percolator. Later Chuck Collins/Theremaniacs products are successor reproductions/rights history, not additional original builders.	P0	https://www.effectsdatabase.com/model/interfax/harmonicpercolator; https://www.theremaniacs.com/percolator.html
VAR-077	Micro Electro Tecnica / MET	MET; Logan; G.I.S.; EF-EL	PROBABLE_RELATIONSHIP	predecessor / corporate lineage	Sandro Marchetti's interview ties MET of Carlo Baldoni to the earlier technical/electromechanical work that fed into Logan, G.I.S. and later EF-EL activity. Keep this as historical infrastructure and lineage context, not a confirmed separate dirt-pedal factory.	P1	https://www.classic2vintage.com/effetti-vintage-italiani/; https://www.classic2vintage.com/en/the-history-of-cosmosound-silversound-goldsound-effects-sandro-marchettis-interview-first-part/
VAR-078	InterFax Electronics / Ed Giese	HP-1 Harmonic Percolator	DISCOVERY_FLAG	chronology	Sources disagree or remain imprecise on exact start/end dates; retain the 1970s production corridor while avoiding an invented precise launch year.	P1	https://www.tonehome.de/interfax/; https://aionfx.com/project/particle-vintage-fuzz/
VAR-079	Kent	Model 6406 The Angry Fuzz	CONFIRMED_VARIATION	product / period	ToneHome documents a distinct Kent Model 6406 The Angry Fuzz, made in Germany and officially released at Musikmesse Frankfurt in 1971. It is retained as a historical marketed-product identity while factory attribution remains unresolved.	P1	https://www.tonehome.de/kent/
VAR-080	Kent	Model 6406 The Angry Fuzz	DISCOVERY_FLAG	factory attribution	The product is documented as German-made, but current evidence reviewed does not securely establish the physical manufacturer. Do not assign Kent to Schaller, EKO, or another factory without stronger evidence.	P0	https://www.tonehome.de/kent/
VAR-081	Sola Sound / Colorsound	Eurotec Black Box Fuzz Module; Black Box Module System	CONFIRMED_RELATIONSHIP	brand / product-format	Eurotec was a late-1970s Sola/Colorsound brand built around modular Black Box effects. Treat Eurotec as a marketed/product-format identity within the Sola/Colorsound lineage, not a separate manufacturer.	P1	https://www.tonehome.de/eurotec/
VAR-082	Sola Sound / Colorsound	Futuristic Sounds Sustain; Orange Sustain; Dharma Sound Sustainer	PROBABLE_RELATIONSHIP	OEM / marketed identity	ToneHome documents the late-1970s Futuristic Sounds Sustain and links the family with Orange Sustain and Dharma Sound Sustainer. Keep these as relationship nodes pending stronger factory and production evidence rather than creating separate builder records.	P1	https://www.tonehome.de/futuristic-sounds/
VAR-083	JEN Elettronica	FBT Fuzz FF III / Jen FZ III / Ricken's FR III / JHS FZ-III	CONFIRMED_RELATIONSHIP	OEM / marketed identity	Current archival sources consistently describe FBT FF III as a differently branded JEN Fuzz FZ III. FBT should remain a marketed-brand relationship under JEN rather than an independent Italian factory record.	P0	https://www.tonehome.de/jen/fbt-fuzz-iii/; https://www.effectsdatabase.com/model/fbt/ff3
VAR-084	Schaller	Höfner Wha-Wha-Fuzz / Schaller Wha-Wha-Fuzz / Kent 6406	PROBABLE_RELATIONSHIP	OEM / shared-product-family	Höfner Wha-Wha-Fuzz is explicitly documented as manufactured by Schaller. Kent 6406 is separately documented as German-made but its factory is unresolved. Do not merge Kent into Schaller yet; retain only a research hypothesis.	P0	https://www.effectsdatabase.com/model/hofner/whawhafuzz; https://www.tonehome.de/kent/
