flag_id	builder	model_or_product	variation_status	variation_type	flag_note	deep_research_priority
VAR-041	Claybridge Sound Systems	Fuzz Box / pre-Fuzzmaster	CONFIRMED	generation / controls / branding	Pre-Fuzzmaster two-control unit predates named Fuzzmaster; preserve as separate production state pending full chronology.	P1
VAR-042	Claybridge Sound Systems	Fuzzmaster / Wildcat / MKIV	CONFIRMED	generation / artwork / enclosure	Surviving examples distinguish original Fuzzmaster, Wildcat and MKIV states. Exact sequence remains to be fully reconstructed.	P0
VAR-043	Fi-Sonic	Fuzz Blender / MKIV	PROBABLE	generation / enclosure / format	Amp-top Fuzz Blender and later MKIV pedal are physically distinct states. Possible missing intermediate MKII/MKIII stages should be investigated later.	P0
VAR-044	Pearl Musical Instrument Co.	CF-1 Cry Fuzz	PROBABLE	enclosure / production period	Specimen and catalog evidence suggest period-specific construction differences; detailed side-by-side study deferred.	P1
VAR-045	Pearl Musical Instrument Co.	Sound Spice DS-06 / OD-05	SUSPECTED	production period / OEM	Later Sound Spice models may represent different Japanese production corridors; exact factory and revision states need reconciliation.	P1
VAR-046	VEB Musikelektronik Klingenthal	Trickverzerrer / Verzerrer	CONFIRMED	specimen / artwork / enclosure	Surviving specimens show naming and physical-state differences that should be compared before collapsing into one historical state.	P1
VAR-047	Caldironi Musica	Distortion Whau-Whau family	CONFIRMED	OEM / branding / model state	Same physical-manufacturer family appears under G.I.S., Goldsound, Cosmosound, Gun, Meazzi and related labels; retail identity must remain separate from factory identity.	P0
VAR-048	Caldironi Musica	Distortion Whau-Whau Repeat / SE-40	CONFIRMED	OEM / branding	Goldsound, Silversound SE/40 and Cosmosound identities map to the same documented Caldironi product state; future work should map label-specific specimens.	P1
VAR-049	JEN Elettronica	Ricken's FR III Fuzz	PROBABLE	OEM / branding	Ricken's FR III is documented as JEN-made; compare against other JEN fuzz states and Ricken's-marked specimens later.	P1
VAR-050	Gretsch / Baldwin	Expandafuzz / Controfuzz	SUSPECTED	OEM / production period	Physical factory remains unresolved, with Maestro/JEN hypotheses. Variation research should not outrun manufacturer attribution.	P1
VAR-051	Roger Mayer Effects	Axis / Octavia / Voodoo families	PROBABLE	generation / enclosure / ownership	Long commercial history and designer-to-builder transition make production states likely; broad flag only until catalog chronology is complete.	P1
VAR-052	Jordan Electronics	Bosstone / Boss Tone	PROBABLE	enclosure / distributor / production period	Multiple historical specimens and marketed/distributor relationships warrant a future generation map.	P0
VAR-053	Arion	TUBULATOR and dirt catalog	PROBABLE	generation / enclosure / OEM	Japanese budget-era products may contain model revisions and OEM-adjacent relationships; individual models should be checked during catalog completion.	P1
