entity_a	entity_b	classification	status	confidence	note
Shin-Ei FY-6	Shin-Ei FY-2	SEPARATE_MODEL_FAMILIES	RECONCILED	HIGH	Shared Shin-Ei ecosystem does not make the models duplicates.
Univox Super-Fuzz	Honey Psychedelic Machine	SUCCESSOR_OEM_LINEAGE	RECONCILED	HIGH	Treat as historical lineage states rather than duplicate identity.
Teisco Fuzz Machine	Ibanez Standard Fuzz No.59	OEM_MARKETED_FAMILY	RECONCILED	HIGH	Related Japanese OEM family with distinct marketed identities.
Teisco Wau Wau Fuzz	Guyatone FS-5	OEM_FAMILY_RELATIONSHIP	RECONCILED	MEDIUM	Related wah-fuzz family; direct factory attribution remains qualified.
FY-6-branded variants	FY-2-branded variants	DO_NOT_MERGE	RECONCILED	HIGH	Brand variants across the two model families must remain distinct records.
Ibanez SoundTank	Maxon	BRAND_MANUFACTURER_RELATIONSHIP	HOLD_FOR_MODEL_SPECIFIC_REVIEW	MEDIUM	No blanket merge; individual SoundTank models require source-backed attribution.
BOSS	Roland	BRAND_MANUFACTURER_RELATIONSHIP	RECONCILED	HIGH	Keep BOSS as the marketed effects identity and Roland as corporate/manufacturer relationship.
DOD	DigiTech	BRAND_FAMILY_RELATIONSHIP	RECONCILED	HIGH	Same broader corporate history does not justify merging product identities.
Sola Sound	Colorsound	BUILDER_MARKETING_LINEAGE	RECONCILED	HIGH	Preserve manufacturing and marketed-brand layers separately.
JEN Fuzz	Vox V828/V8281	OEM_MARKETED_LINEAGE	RECONCILED	HIGH	Shared Italian production lineage, distinct marketed records.
Coron Distortion 10	Grant Distortion 10	OEM_REBRAND_LINEAGE	RECONCILED	HIGH	Retain separate branded records with an explicit relationship.
Rotosound Fuzz Box	Jennings-made Rotosound Fuzz	PERIOD_MANUFACTURING_STATE	RECONCILED	HIGH	Same marketed product name can span different physical builders by period.
