queue_id	builder	model	category_or_boundary	status	priority	source_refs	research_notes
MPD-0001	Crazy Tube Circuits	Orama	overdrive	DISCOVERY_SEED	P0	https://crazytubecircuits.com/store/overdrive-distortion-fuzz	Current catalog target; verify release/revision states and exterior photography.
MPD-0002	Crazy Tube Circuits	Heatseeker	overdrive	DISCOVERY_SEED	P1	https://crazytubecircuits.com/store/overdrive-distortion-fuzz	Current catalog target; look for prior revisions and discontinued states.
MPD-0003	Crazy Tube Circuits	Stardust v3	fuzz/drive	DISCOVERY_SEED	P0	https://crazytubecircuits.com/store/overdrive-distortion-fuzz	Explicit v3 naming makes generation tracking important.
MPD-0004	Crazy Tube Circuits	Crossfire	overdrive/distortion	DISCOVERY_SEED	P1	https://crazytubecircuits.com/store/overdrive-distortion-fuzz	Catalog model; map physical generations before selecting images.
MPD-0005	Crazy Tube Circuits	Space Charged V2	fuzz/drive	DISCOVERY_SEED	P0	https://crazytubecircuits.com/store/overdrive-distortion-fuzz	V2 physical state should remain distinct from earlier Space Charged.
MPD-0006	Crazy Tube Circuits	Killer V	fuzz/drive	DISCOVERY_SEED	P1	https://crazytubecircuits.com/store/overdrive-distortion-fuzz	Current/legacy relationship to document.
MPD-0007	Crazy Tube Circuits	Falcon	overdrive/distortion	DISCOVERY_SEED	P1	https://crazytubecircuits.com/store/overdrive-distortion-fuzz	Model-level source target.
MPD-0008	Crazy Tube Circuits	Ziggy v2	overdrive	DISCOVERY_SEED	P0	https://crazytubecircuits.com/store/overdrive-distortion-fuzz	Explicit v2 generation; photograph revisions separately.
MPD-0009	Crazy Tube Circuits	Triptychon	fuzz/boost/drive hybrid	DISCOVERY_SEED	P0	https://crazytubecircuits.com/store	2026 current-product target; preserve as modern hybrid boundary record.
MPD-0010	Great Eastern FX Co.	Design-a-drive	drive	DISCOVERY_SEED	P0	https://www.greateasternfx.com/collections/all	Current catalog; builder explicitly separates current/discontinued/obsolete devices.
MPD-0011	Great Eastern FX Co.	Distortion Filter D312A	distortion	DISCOVERY_SEED	P0	https://www.greateasternfx.com/collections/all	Current distortion target; seek product history and older photos.
MPD-0012	Great Eastern FX Co.	Focus Fuzz Deluxe	fuzz	DISCOVERY_SEED	P0	https://www.greateasternfx.com/collections/all	Current fuzz target; compare with silicon version and discontinued states.
MPD-0013	Great Eastern FX Co.	Focus Fuzz Silicon	fuzz	DISCOVERY_SEED	P0	https://www.greateasternfx.com/search	Current/variant record; keep Deluxe and Silicon visually distinct.
MPD-0014	Great Eastern FX Co.	Small Speaker Overdrive	overdrive	DISCOVERY_SEED	P0	https://www.greateasternfx.com/collections/all	Current drive target; locate older photos and production states.
MPD-0015	VFE Pedals	Tiamat	 foverdrive	DISCOVERY_SEED	P0	https://www.vfepedals.com/shop	2026 final VFE overdrive target; distinguish assembled pedal from DIY file.
MPD-0016	VFE Pedals	RUP mkII	distortion	DISCOVERY_SEED	P0	https://www.vfepedals.com/shop	Explicit mkII state; keep assembled pedal and DIY kit records separate.
MPD-0017	VFE Pedals	Killer Rabbit	stereo distortion	DISCOVERY_SEED	P0	https://www.vfepedals.com/shop	Current 2026 assembled pedal; investigate predecessor/reissue identity.
MPD-0018	Teaching Machines	FuzzBillion	programmable fuzz/distortion	DISCOVERY_SEED	P0	Effects Database; official site	Unusual modern analog programmable dirt platform; prioritize exterior/product-state documentation.
MPD-0019	Tallon Electric	The Hog	fuzz/drive	DISCOVERY_SEED	P1	Effects Database; official site/social	Current model target; capture builder and signature-product relationships.
MPD-0020	Tallon Electric	ABR-OD	overdrive	DISCOVERY_SEED	P1	Effects Database; official site/social	Current model target; seek historical and current appearance.
