record_id	entity_or_family	period	role	physical_builder	confidence	status	evidence_summary	source_1	source_2
LIMMCO-CHRON-001	LIMMCO / Long Island Musical Merchandise Co.	mid-1960s-1970s	distributor / wholesaler / house-brand owner	LIMMCO for limited early Kimberly production only	HIGH	RESEARCH_VALIDATED	Tone Machines identifies LIMMCO as a major Hicksville, NY wholesaler/distributor and describes Nomad as a LIMMCO house brand. The same research distinguishes LIMMCO's limited in-house first Kimberly Buzz Box production from later third-party manufacturing.	https://www.tonemachinesblog.com/2024/09/limmco-owner-bob-seidman-interview.html	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
LIMMCO-CHRON-002	Kimberly Buzz Box and Volume Expander	Fall 1966 initial state	limited in-house manufacture	LIMMCO	HIGH	RESEARCH_VALIDATED	Bob Seidman's account, as reported by Tone Machines, says the first Kimberly Buzz Box and Volume Expander was made in the LIMMCO warehouse on Long Island before the process became too resource-intensive and was outsourced.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.effectsdatabase.com/model/kimberly/fuzzbox
LIMMCO-CHRON-003	Kimberly Buzz Box and Volume Expander	post-initial 1966 state	third-party OEM	unknown initially; Applied Audio candidate	MEDIUM	RESEARCH_ONLY	Effects Database explicitly separates a v1 by LIMMCO from a v2 by Applied. Tone Machines independently reconstructs an LIMMCO to Applied to UMI production sequence, but the exact transfer date is not established by a dated factory document.	https://www.effectsdatabase.com/model/kimberly/fuzzbox	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
LIMMCO-CHRON-004	Kimberly Buzz Box and Volume Expander	later 1960s	revision / later OEM	UMI / United Musical Industries	MEDIUM	RESEARCH_ONLY	Tone Machines places a later Kimberly redesign with UMI and states UMI continued producing the pedals through the end of the run. This is useful chronology but remains less direct than the explicit Effects Database v1/v2 attribution.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.effectsdatabase.com/model/umi/buzztone
LIMMCO-CHRON-005	Nomad Banshee Fuzz	late 1960s	LIMMCO house-brand marketed state	Applied Audio Products, Inc. candidate	MEDIUM	RESEARCH_ONLY	Tone Machines identifies Nomad as a LIMMCO house brand and states the Banshee Fuzz was made by Applied Audio and distributed by LIMMCO. Exact manufacturing dates remain unknown.	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
LIMMCO-CHRON-006	Nomad Rogue Fuzz	late 1960s	LIMMCO house-brand marketed state	Applied Audio Products, Inc.	HIGH	RESEARCH_VALIDATED	Tone Machines identifies the Rogue Fuzz as an Applied Audio product and places it alongside the LIMMCO-distributed Nomad Banshee. This establishes the supplier relationship for the Rogue state without treating Nomad as a factory identity.	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
LIMMCO-CHRON-007	Nomad Tone Booster	late 1960s-early 1970s	marketed-label / OEM state	UMI / United Musical Industries	MEDIUM	RESEARCH_ONLY	Effects Database catalogs a Nomad Tone Booster as Nomad by UMI. Because Nomad also appears on Applied products, this record is model-specific and cannot be generalized to the Nomad brand.	https://www.effectsdatabase.com/type/boost/bass	https://www.effectsdatabase.com/type/boost/treble
LIMMCO-CHRON-008	Nomad Super Fuzz	possible 1966-1967	early OEM mystery	unknown; possible Mosrite/Fuzzrite relationship unresolved	LOW	HOLD_FOR_REVIEW	Tone Machines documents an apparently legitimate Nomad-branded pedal using the early germanium Fuzzrite-type circuit, but finds no clear evidence tying it to LIMMCO, Applied Audio, or a direct Mosrite OEM transaction. It must remain isolated from later Nomad supplier states.	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.effectsdatabase.com/model/nomad/superfuzz
LIMMCO-CHRON-009	Nomad brand	mid-1960s-1970s	cross-supplier house-brand / distribution context	multiple suppliers	HIGH	RESEARCH_VALIDATED	The documented Nomad states include an unresolved early Super Fuzz, Applied-made Banshee and Rogue products, and a UMI-linked Tone Booster. The archive therefore treats Nomad as a house-brand/distribution context rather than a physical manufacturer.	https://www.tonemachinesblog.com/2024/09/limmco-owner-bob-seidman-interview.html	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
LIMMCO-CHRON-010	LIMMCO / UMI / Applied relationship	1966-1970s	business-network evidence	multiple suppliers	HIGH	RESEARCH_VALIDATED	LIMMCO is independently documented as a major distribution node connecting brands including Applied, Nomad, Kimberly, and UMI. The evidence supports a business network, not blanket physical manufacture by any one participant.	https://www.tonemachinesblog.com/2024/09/limmco-owner-bob-seidman-interview.html	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
