brand	product_family	variant	period	variant_axis	identification_markers	evidence_level	sources	notes
Fender	Pugilist Distortion	V2	2026-present	Generation + hardware + control architecture	New generation in current Fender compact aluminum enclosure; dual independent distortion engines; three signal-path modes; rear multiswitch; buffered/true bypass selection; gold finish	VERIFIED	https://www.fender.com/products/pugilist-v2-distortion	Current Fender page explicitly identifies the product as Pugilist V2 and documents the revised architecture and physical specification.
Fender	Santa Ana Overdrive	V2	2026-present	Generation + hardware + control architecture	New generation; JFET class-A drive; two voices; independent 3-band EQ with pre/post placement; rear Tight switch; rear multiswitch; buffered/true bypass selection; black enclosure	VERIFIED	https://www.fender.com/products/santa-ana-v2-overdrive	Current Fender page explicitly identifies the product as Santa Ana V2 and documents the revised feature set and physical specification.
Fender	The Pelt Fuzz	V2	2026-present	Generation + hardware + control architecture	New generation; silicon-transistor fuzz; Sag and Bloom controls; Mids and Thick switches; Octave/Chaos footswitch; Blend control; rear multiswitch; buffered/true bypass selection; purple enclosure	VERIFIED	https://www.fender.com/products/the-pelt-v2-fuzz	Current Fender page explicitly identifies the product as The Pelt V2 and documents the revised feature set and physical specification.
DOD	Overdrive Preamp 250	250-X	2025-present	Generation + anniversary relationship + control architecture	Tenth 250 iteration; three-position SILICON/ASYM/LIFT switch; modern 9V input; true hard-wire bypass; aluminum chassis; final assembly Indonesia	VERIFIED	https://digitech.com/dp/overdrive-preamp-250-x/ ; https://digitech.com/new-product-spotlight-dod-overdrive-preamp-250-x/	Released September 25, 2025. Must remain distinct from the DOD 250 50th Anniversary Edition even though they share the three-mode concept.
DOD	Overdrive Preamp 250	50th Anniversary Edition	2024-2025	Limited edition + production location	Only 1,974 units; hand-built in USA; serialized certificate; three modes SILICON/Ge/ASYM/LIFT; socketed LM741 and through-hole construction	VERIFIED	https://digitech.com/dp/overdrive-preamp-250-50th-anniversary/	Preserve as a distinct limited edition linked to the wider 250 lineage, not as the same product as the 250-X.
REVV Amplification	G2	V2	2025-present	Generation + circuit revision + appearance	Standard V2 edition; updated circuit from V2 Anniversary; pinstripes and smaller logo; Bass/Middle/Treble/Volume/Gain; Blue/Off/Red drive mode; top jacks	VERIFIED	https://www.guitarpedalx.com/news/gpx-blog-revv-amps-releases-standard-v2-editions-of-its-g-series-g2-g3-g4	REVV released standard V2 G2/G3/G4 in 2025. Exact physical production markers should be expanded from current specimens.
REVV Amplification	G3	V2	2025-present	Generation + circuit revision + appearance	Standard V2 edition; updated circuit; pinstripes and smaller logo; five-band controls; Blue/Off/Red aggression mode; top jacks; Canadian assembly	VERIFIED	https://www.guitarpedalx.com/news/gpx-blog-revv-amps-releases-standard-v2-editions-of-its-g-series-g2-g3-g4 ; https://www.thomannmusic.com/revv_g3_v2_distortion.htm	Thomann documents the G3 V2 as available from July 2025 and made in Canada. Keep the V2 identity separate from Anniversary V2 editions.
REVV Amplification	G4	V2	2025-present	Generation + circuit revision + appearance	Standard V2 edition; updated circuit; pinstripes and smaller logo; five-band controls; Blue/Off/Red aggression mode; top jacks	VERIFIED	https://www.guitarpedalx.com/news/gpx-blog-revv-amps-releases-standard-v2-editions-of-its-g-series-g2-g3-g4	REVV released the G4 standard V2 alongside the G2 and G3 standard V2 editions in 2025.
JHS Pedals	Kilt	V2	modern production	Generation + enclosure + control architecture	Smaller enclosure; three knobs and three toggles; Red Remote system; Expandora-derived dirt lineage; current Kilt V2 product page	VERIFIED	https://jhspedals.info/products/kilt-v2	JHS explicitly distinguishes V1 and V2. Kilt 10 in 2025 should remain a special edition rather than being treated as V3.
JHS Pedals	Kilt	10 Year Anniversary Edition	2025	Limited edition + appearance + product refinement	Polished aluminum finish; Expandora-style knobs; Scottish flag-inspired icon; retains Kilt V2 lineage and control architecture	VERIFIED	https://jhspedals.info/collections/overdrive-distortions/products/kilt-10	Current JHS page defines Kilt 10 as a 10 Year Anniversary Special Edition Mod released in 2025, not a new numbered generation.
