inventory_id	builder	product	category	light_information	product_source	photo_source	collection_status
P1-004-001	Airline Guitars	Dirty Birdy Fuzz	fuzz	Airline describes the Dirty Birdy as a versatile fuzz that cleans up with the guitar volume, moving from chime and breakup into saturated fuzz; THRUST controls fuzz amount and TONE controls brightness.	https://airlineguitars.com/products/airline-dirty-birdy-fuzz-pedal	https://airlineguitars.com/products/airline-dirty-birdy-fuzz-pedal	INVENTORY
P1-004-002	AmpMojo	Sol Drive	overdrive	Tube overdrive built around a 12AX7 preamp tube, voiced for responsive, warm, dynamic D-style amplifier character and smooth sustain.	https://www.ampmojo.com/	https://www.ampmojo.com/	INVENTORY
P1-004-003	AmpMojo	Skate Fuzz	fuzz	Current AmpMojo fuzz model; inventory target for a fuzz pedal in the builder's current catalog.	https://www.ampmojo.com/	https://www.ampmojo.com/	INVENTORY
P1-004-004	AmpMojo	Rat Rod	distortion	Current AmpMojo distortion model; inventory target for a Rat-style dirt pedal in the builder's current catalog.	https://www.ampmojo.com/	https://www.ampmojo.com/	INVENTORY
P1-004-005	Audiofab	Valve Warper	overdrive	Audiofab describes the Valve Warper as a fully discrete overdrive with tube-like breakup, touch response, and a wide gain range from subtle warmth through saturated fuzz-like distortion.	https://audiofab.com/products/valve-warper	https://audiofab.com/products/valve-warper	INVENTORY
P1-004-006	Cornerstone Music Gear	Centurio	overdrive	A dual-channel drive built around a Klon-style foundation, with independent Normal and Hot modes and a continuous clipping control that changes the feel from open, lower-compression drive to more compressed saturation.	https://www.cornerstonemusicgear.com/product/centurio/	https://www.cornerstonemusicgear.com/product/centurio/	INVENTORY
P1-004-007	Empress Effects	Drive	overdrive	An all-analog overdrive designed around pre-overdrive mid shaping, flexible boost routing, clean blend and post-mix EQ, spanning subtle edge-of-breakup through saturated harmonic drive.	https://empresseffects.com/products/drive	https://empresseffects.com/products/drive	INVENTORY
P1-004-008	Greer Amps	Mori Drive	overdrive	Greer describes the Mori Drive as its take on a classic mid-hump overdrive, inspired by vintage Tube Screamer circuitry and voiced between TS and K-style frequency ranges, with smoother clipping and extra output.	https://www.greeramps.com/products/mori-drive	https://www.greeramps.com/products/mori-drive	INVENTORY
P1-004-009	Klowra	Gnash Distortion	distortion	Klowra describes Gnash as a dual-channel analog distortion spanning tight modern rhythm sounds, vintage-style fuzz textures, transparent lead tones and compressed high-gain distortion; a wavefolder section pushes it toward the distortion/fuzz boundary.	https://www.klowra.com/gnash-distortion	https://www.klowra.com/gnash-distortion	INVENTORY
P1-004-010	Non-Human Audio	Unclean	 distortion	A cascading distortion using two distinct gain stages in series, capable of clean boost, dirty boost and full distortion; a resonance control tightens the low end for stacking or modern response.	https://www.nonhumanaudio.com/product/unclean	https://www.nonhumanaudio.com/product/unclean	INVENTORY
