entity	period_or_state	manufacturer_or_builder	relationship_type	status	confidence	primary_source	research_action	note
Rotosound Fuzz Box	1966-early 1970s	Sola Sound	OEM_SUPPLY	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/rotosoundfuzzbox	Validate against Rotosound builder/catalog ledger	Sola Sound supplied Rotosound fuzz boxes across multiple enclosure/circuit periods.
Rotosound Fuzz Box	short period beginning Nov 1968	Jennings / JEI	MANUFACTURING_SWITCH	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/rotosoundfuzzbox	Reconcile exact start/end boundaries with JEI catalog	Separate Jennings-manufactured period should not be collapsed into the earlier Sola Sound OEM state.
Marshall SupaFuzz	1966-Aug 1968	Sola Sound	OEM_SUPPLY	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/marshallsupafuzz	Reconcile Marshall catalog record with Sola Sound relationship	Early SupaFuzzes were supplied to Marshall by Sola Sound.
Marshall SupaFuzz	Aug 1968-early 1970s	Marshall	MANUFACTURING_SWITCH	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/marshallsupafuzz	Validate Marshall production boundary in builder ledger	Marshall took over production in 1968; later embossed versions continued into the 1970s.
John Hornby Skewes Zonk II	1967-1968	Sola Sound	OEM_SUPPLY	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/zonkii	Reconcile early cast-enclosure Zonk II records	Some early Zonk II examples were supplied by Sola Sound; later variants came from other builders.
John Hornby Skewes Zonk II	c.1969	Unresolved alternate builder	MANUFACTURING_SWITCH	RESEARCH_CANDIDATE	MEDIUM	https://fuzzboxes.org/zonkii	Identify the builder behind the 1969 silicon stripboard transitional version	Construction strongly separates this phase from Sola Sound production, but exact builder attribution is not definitive.
John Hornby Skewes Zonk II	1969-early/mid 1970s	Wilsic Sound	OEM_SUPPLY	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/zonkii	Validate Wilsic relationship in builder ledger	Later folded-aluminium Zonk II PCBs identify Wilsic Sound; production continued until early/mid 1970s.
WEM Rush Pep Box	pre-WEM / early partnership	Rush Electronics / Pepe Rush	ORIGINAL_BUILDER	RESEARCH_CANDIDATE	MEDIUM	https://fuzzboxes.org/pepbox	Preserve as distinct pre-WEM history; do not overstate surviving evidence	Early Pep Boxes were associated with Pepe Rush; no surviving pre-partnership example is currently known.
WEM Rush Pep Box	1965-1966	Rush / WEM partnership	CO_DEVELOPMENT_OR_PARTNERSHIP	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/pepbox	Reconcile catalog naming and period boundaries	WEM marketed the Pep Box while Rush remained involved; silver wedge and early silicon states sit here.
WEM Rush Pep Box	mid-1960s onward	WEM	MANUFACTURING_SWITCH	RESEARCH_VALIDATED	HIGH	https://fuzzboxes.org/pepbox	Validate exact handover date in WEM catalog chronology	WEM later took over production; the long-red WEM-built enclosure marks a major physical transition.
