record_id	marketed_identity	model_or_family	country	period	physical_builder_candidate	relationship_type	confidence	status	evidence_summary	source_1	source_2
US-LIMMCO-001	Nomad	Banshee Fuzz	USA	c.1968	Applied Audio Products, Inc.	LIMMCO house-brand / Applied OEM	HIGH	RESEARCH_VALIDATED	Tone Machines identifies Nomad as a LIMMCO house brand and the Banshee as an Applied Audio product distributed by LIMMCO. Exact first-production date remains unresolved, so this record should not be used to date the entire Nomad brand.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html
US-LIMMCO-002	Nomad	Rogue Fuzz	USA	late 1960s	Applied Audio Products, Inc.	LIMMCO house-brand / Applied OEM	HIGH	RESEARCH_VALIDATED	Tone Machines states that the Rogue Fuzz followed the Banshee and was also made by Applied Audio. Nomad operated as a LIMMCO house brand. Exact production window remains approximate.	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-LIMMCO-003	Nomad	Super Fuzz	USA	claimed c.1966-1967	unknown; Mosrite/Fuzzrite relationship unresolved	unresolved OEM / possible Fuzzrite-family state	LOW	HOLD_FOR_REVIEW	The surviving pedal is presented as a legitimate Nomad-marked Fuzzrite-type unit, but no direct period evidence presently establishes a Mosrite-to-Nomad transaction or an Applied build. It must remain isolated from later Nomad Applied products.	https://www.tonemachinesblog.com/2024/06/nomad-super-fuzz-rite.html	https://www.effectsdatabase.com/model/nomad/superfuzz
US-LIMMCO-004	Nomad	Tone Booster	USA	late 1960s-early 1970s	UMI / United Musical Industries	LIMMCO house-brand / UMI-linked marketed state	MEDIUM	RESEARCH_ONLY	Effects Database catalogs a Nomad Tone Booster as Nomad by UMI. This supports a UMI relationship for the specific Tone Booster state, not a blanket UMI attribution for Nomad-branded effects.	https://www.effectsdatabase.com/type/boost/bass	https://www.effectsdatabase.com/type/boost/treble
US-LIMMCO-005	Nomad	Fuzz Wah	USA	late 1960s-early 1970s	Applied Audio Products, Inc.	LIMMCO house-brand / Applied FW-3 OEM	HIGH	RESEARCH_VALIDATED	Effects Database identifies the Nomad Fuzz Wah as an Applied FW-3 family product. This is consistent with the wider Applied OEM cluster, but should remain a separate model-state record from the later or differently configured Nomad fuzzes.	https://www.effectsdatabase.com/model/nomad/fuzzwah	https://www.effectsdatabase.com/model/applied/fuzzwah
US-LIMMCO-006	Kimberly	Buzz Box and Volume Expander	USA	1966-1970s	LIMMCO initially; Applied later; UMI later	multi-stage supplier history	HIGH	RESEARCH_VALIDATED	Effects Database explicitly separates Kimberly v1 by LIMMCO and v2 by Applied, while related Apollo and Conrad versions are cataloged as UMI. Tone Machines adds the Seidman account that initial Kimberly production was done in the LIMMCO warehouse and later moved to outside production, with UMI becoming the later producer.	https://www.effectsdatabase.com/model/kimberly/fuzzbox	https://www.tonemachinesblog.com/2025/09/
US-LIMMCO-007	Kimberly	Fuzz Box and Volume Expander v1	USA	fall 1966-1967	LIMMCO warehouse	in-house manufacture	HIGH	RESEARCH_VALIDATED	Bob Seidman's account, as reported by Tone Machines, places the initial Kimberly fuzz production in LIMMCO's own Long Island warehouse before the company hired a third party. This is a model-specific in-house manufacturing state.	https://www.tonemachinesblog.com/2024/09/limmco-owner-bob-seidman-interview.html	https://www.tonemachinesblog.com/2025/09/
US-LIMMCO-008	Goya	Panther Box	USA	post-1966	Applied Audio Products, Inc. candidate	LIMMCO network / third-party OEM candidate	MEDIUM	RESEARCH_ONLY	Tone Machines strongly attributes post-1966 Goya effects to Applied Audio based on construction, circuitry and documentation, but the available evidence here is research-level rather than a period manufacturer statement. Goya was in the same LIMMCO-connected trade network.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.tonemachinesblog.com/2024/09/limmco-owner-bob-seidman-interview.html
US-LIMMCO-009	Goya	Boom Box / Fury Box / Power Box	USA	1968-1969	Applied Audio Products, Inc. candidate	third-party OEM candidate	MEDIUM	RESEARCH_ONLY	Tone Machines reports Goya added Boom Box and Fury Box in 1968 and Power Box in 1969, all within the Applied-connected research branch. Exact model-by-model manufacturing proof is not equivalent across the three and should remain separated until period primary sourcing is found.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.tonemachinesblog.com/2025/09/
US-LIMMCO-010	Gracin's Music	dealer / house-label context	USA	1960s-1970s	multiple suppliers	retailer / house-brand context	HIGH	RESEARCH_VALIDATED	Gracin's must be treated as a retail/house-label context rather than a factory. It appears in documented relationships involving UMI, the East Coast Fuzz family, and Foxx-made products, demonstrating cross-supplier use of the name.	https://www.effectsdatabase.com/model/umi	https://www.tonemachinesblog.com/2024/11/mystery-of-east-coast-fuzz.html
