canonical_builder	model	variant_or_state	category	known_date_or_corridor	catalog_status	evidence_level	relationship_notes	source_trail
MJM Guitar FX	London Fuzz	Early V1 / V1 / V2 / V3 bias	FUZZ	2000-present; MJM describes flagship since 2000; Effects Database indexes 2003-2008 states and early V1 through V3	PARTIALLY_VERIFIED	PRIMARY_PLUS_SECONDARY	Treat as one family. Effects Database explicitly distinguishes early V1, V1, V2 and V3 bias states; MJM FAQ confirms Germanium, Silicon and bias configurations. Do not equate every color/faceplate with a new generation.	https://www.effectsdatabase.com/model/mjm/london ; https://mjmguitarfx.com/faq-warranty/ ; https://www.jackfossett.com/video/mjm-london-fuzz
MJM Guitar FX	London Fuzz	Germanium	FUZZ	2000-present	PARTIALLY_VERIFIED	PRIMARY	MJM FAQ directly confirms Germanium and explains positive-ground/power behavior; 2017 product description cited in demo material states two hand-matched NOS germanium transistors.	https://mjmguitarfx.com/faq-warranty/ ; https://www.youtube.com/watch?v=2nNwweqsDrE
MJM Guitar FX	London Fuzz	Silicon	FUZZ	2000s-present	PARTIALLY_VERIFIED	PRIMARY_PLUS_SECONDARY	MJM FAQ explicitly confirms Silicon as a separate Fuzz configuration. Exact start/end production dates remain unresolved.	https://mjmguitarfx.com/faq-warranty/ ; https://equipboard.com/brands/mjm
MJM Guitar FX	London Fuzz	Bias version / Red w Bias	FUZZ	At least by 2007; later 2017-era and reissue references	PARTIALLY_VERIFIED	PRIMARY_PLUS_SECONDARY	2007 Effects Database media indexes Low Bias and Mid Bias examples; MJM FAQ confirms bias version; preserve bias as a meaningful configuration rather than a color-only variant.	https://www.effectsdatabase.com/model/mjm/london ; https://mjmguitarfx.com/faq-warranty/
MJM Guitar FX	London Fuzz Classic	Authentic Vintage Series / reissue	FUZZ	Documented by surviving listings by c.2020s; sold as a re-reissue of older hand-painted/stickered London Fuzzes	INDEXED_BASELINE_MAPPED	SECONDARY	Reissue state should remain separate from original production states. Reverb listing says Classic returns to the old design language, uses the same transistor family, and adds an internal bias trimpot.	https://reverb.com/item/80978596-mjm-guitar-fx-london-fuzz-classic ; https://reverb.com/uk/item/34854469-mjm-guitar-fx-london-fuzz-classic-germanium-fuzz-face
MJM Guitar FX	London II Fuzz	2-knob silicon state; later tone-control example	FUZZ	By 2013 at latest; historical catalog product	INDEXED_BASELINE_MAPPED	SECONDARY	A 2013 Audiofanzine owner report documents a 2-control version with Fuzz and Volume and describes it as a silicon Fuzz Face-type design. A newer example may add tone; exact revision boundary remains unresolved.	https://en.audiofanzine.com/fuzz-pedal/mjm-guitar-fx/London-Fuzz-II/
MJM Guitar FX	Brit Bender	2-Knob Original	FUZZ	Documented by 2005; older state	PARTIALLY_VERIFIED	SECONDARY	Effects Database published the original two-knob state on 2005-09-19 and describes three hand-selected germaniums with compressed sustain. Treat as the earlier control state, but do not assign a precise retirement date.	https://www.effectsdatabase.com/model/mjm/britbender/original
MJM Guitar FX	Brit Bender	3-Knob / V2	FUZZ	Documented by 2005; revised state	PARTIALLY_VERIFIED	SECONDARY	Effects Database published the three-knob version on 2005-09-19 and describes a different voicing from the original, with a tone control and three germanium transistors. This is a meaningful identification variant.	https://www.effectsdatabase.com/model/mjm/britbender
MJM Guitar FX	Foxey Fuzz	3-knob Canada-built state	FUZZ	Documented by 2007	PARTIALLY_VERIFIED	SECONDARY	Audiofanzine's 2007 owner entry identifies a three-knob analog fuzz and says the enclosure was designed and made in Canada by MJM; multiple sources describe it as Big Muff-derived.	https://en.audiofanzine.com/fuzz-pedal/mjm-guitar-fx/Foxey-Fuzz/ ; https://www.talkbass.com/threads/mjm-guitar-fx-foxey-fuzz.1149676/
MJM Guitar FX	China Fuzz	Two-mode state / Leeds and Loose	FUZZ	Documented by 2009-2010; later version differs from catalog image	PARTIALLY_VERIFIED	SECONDARY	2009 dealer review records two distinct voicings named Leeds and Loose; 2010 Audiofanzine owner report documents a two-knob/toggle version and says a newer version did not match the older photo. Preserve version/graphic evolution for specimen identification.	https://fattoneguitars.wordpress.com/2009/07/ ; https://en.audiofanzine.com/fuzz-pedal/mjm-guitar-fx/China-Fuzz/
MJM Guitar FX	Roctavios	Roctavios / Roctavious spelling	OCTAVE_FUZZ	2000s-present	INDEXED_BASELINE_MAPPED	SECONDARY	Catalog spelling varies. Keep both spellings as aliases until primary documentation settles the preferred form.	https://equipboard.com/brands/mjm ; https://www.music-blvd.com/sitemap/category/108/amps-effects
MJM Guitar FX	King Buzz	3-transistor Burns Buzzaround-derived	FUZZ	2010s documented	PARTIALLY_VERIFIED	SECONDARY	Reverb identifies a 2010s King Buzz Fuzz and describes it as a three-transistor pedal based on the Burns Buzzaround; older dealer copy describes NOS germanium and positive-ground operation.	https://reverb.com/ca/p/mjm-guitar-fx-king-buzz-fuzz ; https://reverb.com/item/242698-mjm-fx-king-buzz-fuzz-guitar-pedal-free-2-day-delivery
MJM Guitar FX	Phantom Overdrive	Discontinued / earlier OD	OVERDRIVE	Documented by 2022 as discontinued	PARTIALLY_VERIFIED	SECONDARY	Zikinf records Phantom as no longer manufactured and explicitly links it with Blues Devil and Luxora as three MJM overdrive variants/states; Equipboard links Luxora as the newer option.	https://www.zikinf.com/materiel/mjm-phantom-overdrive%2C48741 ; https://equipboard.com/items/mjm-phantom
MJM Guitar FX	Blues Devil Overdrive	Early handmade state; specimen dated 2002 by owner report	OVERDRIVE	2002 specimen; documented by 2007 review	PARTIALLY_VERIFIED	SECONDARY	Audiofanzine owner report identifies an analog handmade overdrive made in Canada and dates the reviewed pedal to 2002. The report mentions component-type changes in later examples; archive should not turn that anecdote into a universal production boundary.	https://en.audiofanzine.com/overdrive-pedal/mjm-guitar-fx/Blues-Devil-overdrive/
MJM Guitar FX	Luxora Overdrive	Later Phantom-family state	OVERDRIVE	Later than Phantom; exact first date unresolved	DISCOVERY_PLUS	SECONDARY	Equipboard explicitly presents Luxora as a newer option to the discontinued Phantom, while Zikinf lists it as the third MJM overdrive alongside Blues Devil and Phantom. Preserve relationship as evidence-qualified, not an exact generational date.	https://equipboard.com/items/mjm-phantom ; https://www.zikinf.com/materiel/mjm-phantom-overdrive%2C48741
