canonical_builder	identity_status	region	era_bucket	dirt_catalog_signal	catalog_status	priority	relationship_notes	source_files
Y.O.S. Guitar Workshop	CANONICAL	Japan	2015-2026	Smoggy Overdrive	CURRENT/HISTORICAL_BOUTIQUE_CATALOG	High	Shizuoka guitar workshop with documented original effecter design/manufacture. First-party documentation identifies Smoggy Overdrive as a handmade original overdrive and preserves its history from 2015 onward, including later intermittent sales. Smoggy Onboard is an onboard adaptation and not a separate central pedal model.	https://www.yosguitars.com/effector/ ; https://www.yosguitars.com/2015/12/18/smoggy-overdrive%e7%99%ba%e5%a3%b2%e9%96%8b%e5%a7%8b/ ; phase-one-inventory-batch-112.tsv
E.W.S. (Engineering Work Store)	CANONICAL	Japan	2006-2026	Fuzzy Drive; Brute Drive; Little Brute Drive; LBD2 (Little Brute Drive 2); Little Fuzzy Drive; Stormy Bass Drive	HISTORICAL/CURRENT_CATALOG	High	E.W.S. was established in 2006 as a repair/modification engineering section at PCI Japan. First-party history states original guitar pedals began in 2009 with Fuzzy Drive, Brute Drive and LBD; later catalog records Little Fuzzy Drive, LBD2 and Stormy Bass Drive. Bass preamps and utilities remain outside central dirt. Eric Gales Brute Drive is retained as a relationship-only limited signature edition of the Brute Drive platform.	https://www.ews-us.com/access.php?item=access ; https://www.ews-us.com/item_list_page.php?item=custom ; phase-one-inventory-batch-112.tsv
Tone Brew Club	CANONICAL	Japan	2024-2026	鎌鼬; Recipe "47" Goat Soup V2; One Foot Fuzz; Recipe "79" Homebrewing Over Drive; BC108 FUZZ; BC108 FUZZ ver2; BOBD FUZZ #1	CURRENT/HISTORICAL_BOUTIQUE_CATALOG	High	Nagano-based Japanese effects brand. First-party shop documents regular and Kimagure Pedals lines, including full-discrete JFET lineage, Rams Head-inspired Goat Soup V2, One Foot Fuzz, Recipe 79, BC108 FUZZ variants and BOBD FUZZ. Booster and one-off custom records remain relationship-only where appropriate.	https://shop.tonebrewclub.com/p/00002 ; https://shop.tonebrewclub.com/categories/6406361 ; https://shop.tonebrewclub.com/categories/6406362 ; phase-one-inventory-batch-112.tsv
TRINITY EFFECTS	CANONICAL_CANDIDATE	Japan	2025-2026	LEGENDARY TONE; ZENTAUR; LT FUZZ; FLUID DISTORTION	CURRENT_BOUTIQUE_CATALOG	High	Current Japanese handmade effects brand documented by Tone Blue as a new pedal brand launched in 2025. Tone Blue states the pedals use selected parts assembled point-to-point and feature one-of-a-kind fluid-art paint. Ishibashi independently documents ZENTAUR, LT FUZZ and FLUID DISTORTION as Japanese-made products and provides exterior product photography. FLUID ECHO and FLUID CHORUS remain non-dirt relationship records.	https://toneblue.com/blog/7786/ ; https://store.ishibashi.co.jp/search?limit=24&q=D.N.Effects&s5%5B0%5D=S%EFBC%9A%E6%96%B0%E5%93%81 ; phase-one-inventory-batch-111.tsv
Herbe&Chick	CANONICAL	Japan	2021-2026	ORANGE; GAZON -Distortion- Rev.FINAL	CURRENT_BOUTIQUE_CATALOG	High	Japanese handmade effects brand with a first-party shop and dedicated product pages. Current catalog separates OverDrive, Distortion, Booster and Preamp. ORANGE and GAZON qualify for central dirt; PIXIE, TRONC and UNICORN remain relationship-only by primary category.	https://herbe-chick.stores.jp/about ; https://herbe-chick.stores.jp/ ; https://herbe-chick.stores.jp/items/612652c38696c73cc2631916 ; https://store.ishibashi.co.jp/view/item/000000154988 ; phase-one-inventory-batch-111.tsv
Vin-Antique	CANONICAL	Japan	2019-2026	PPSE'79; PPSE Classic; UFO'84	CURRENT_BOUTIQUE_CATALOG	High	Kyoto handmade pedal brand founded in 2019. First-party site currently documents PPSE'79 and UFO'84; founder Miyazaki's manuals provide development history. Japanese dealer documentation independently identifies PPSE Classic and UFO'84 Ver.2 as product/revision records. Noblesse remains relationship-only as a booster.	https://vin-antique.com/ja ; https://vin-antique.com/manuals/ppse79-ver2 ; https://vin-antique.com/manuals/noblesse-ver1 ; https://store.ishibashi.co.jp/view/item/000000030249 ; https://store.ishibashi.co.jp/view/item/000000066888 ; phase-one-inventory-batch-113.tsv
KING SNAKE	CANONICAL_CANDIDATE	Japan	2026	Snake Head	CURRENT_GUITAR_BRAND_PEDAL_ENTRY	Medium	KING SNAKE is a full-hollow guitar brand operated by TAURUS Corporation. TAURUS publishes dedicated pedal documentation for Snake Head and Snake Tail; Snake Head is a Japan-made full-hollow-guitar-specific overdrive launched in 2026. 8/10 Pedal is documented on the same pedal page but remains relationship-only pending fuller history.	https://www.taurus-corpo.com/kingsnake ; https://www.taurus-corpo.com/kingsnake-pedal ; phase-one-inventory-batch-113.tsv
VEMURAM	CANONICAL	Japan	2008-2026	Jan Ray; Galea; Karen; Rage e; SHANKS ODS-1; Butter Machine; Oz; Myriad Fuzz; Myriad; Shanks II; Shanks 4K; DJ1 Darryl Jones Bass Overdrive; Las Lunas; SPIRITONE	HISTORICAL/CURRENT_CATALOG	High	Tokyo-based Japanese custom pedal brand operated under Tri-Sound. Surviving first-party and specialist dealer records document a long dirt catalog spanning core overdrives, distortion, fuzz, bass overdrive and artist collaborations. Jan Ray signature variations, Shanks 3K, Budi, Budi-G and Neoplex remain relationship-only because they are signatures, revisions or primarily boost products.	https://www.vemuram.com/ ; https://www.vemuram.com/products.html ; https://www.ksound.jp/shops/list/list00254.html ; https://store.ishibashi.co.jp/maker/691/ ; https://www.ishibashi.co.jp/maker/691/ ; phase-one-inventory-batch-114.tsv
HONDA SOUND WORKS	CANONICAL	Japan	2000s-present	Fujiyama Drive; Fab Drive; Fab Cream; Crazy Fuzz; Mad Fuzz; ISO Fuzz	HISTORICAL/CURRENT_BOUTIQUE_CATALOG	P0	Tokyo Japanese boutique builder associated with Hiroyuki Honda. Effects Database indexes 25 HSW products, including multiple Fujiyama generations and dirt families; surviving HSW pages also document later fuzz derivatives. Keep historical 2006-2007 and later HSW catalog states connected but model-specific.	https://www.effectsdatabase.com/model/hsw ; https://hondasoundworks.wixsite.com/honda/large-grid ; phase-one-inventory-batch-116.tsv
KGR HARMONY	CANONICAL	Japan	2020-present	ARARE	CURRENT_BOUTIQUE_CATALOG	P1	Iwate-based Japanese builder led by Keijiro Fukushima. ARARE was released in January 2020 after extended Nambu-tekki enclosure and circuit prototyping; current KGR HARMONY documentation identifies handmade Nanbu-tekki pedal construction. Additional non-dirt/booster models remain outside the central dirt list unless separately verified.	https://kgrharmonyusa.com/ ; https://note-infomart.jp/n/ncf33fd3908f7?hl=en ; phase-one-inventory-batch-116.tsv
