builder	region_or_market	era_bucket	initial_status	priority	research_lane	discovery_sources	notes
Electronic Audio Experiments	USA	2010s-present	DISCOVERY_SEED	P0	modern boutique dirt	Effects Database; Equipboard; official site	Experimental OD/fuzz/distortion builder; enumerate full catalog before deep model work.
Fairfield Circuitry	Canada	2010s-present	DISCOVERY_SEED	P0	modern boutique dirt	Effects Database; Equipboard; official site	Canadian boutique builder; search current and discontinued dirt products and revisions.
Old Blood Noise Endeavors	USA	2010s-present	DISCOVERY_SEED	P0	modern experimental dirt	Effects Database; Equipboard; official site	Broad experimental catalog; separate dirt from non-dirt and document limited runs.
Chase Bliss Audio	USA	2010s-present	DISCOVERY_SEED	P0	modern experimental dirt	Effects Database; Equipboard; official site	Catalog includes dirt and hybrid products; capture firmware/hardware generations only when historically meaningful.
Hologram Electronics	USA	2010s-present	DISCOVERY_SEED	P1	modern experimental dirt/hybrid	Effects Database; Equipboard; official site	Search broad product universe; include dirt/hybrid products while preserving digital boundary records.
Pladask Elektrisk	Norway	2010s-present	DISCOVERY_SEED	P0	modern boutique dirt/hybrid	Effects Database; Equipboard; official site	One-person/limited-run ecosystem; strong need for discontinued and revision photography.
Beetronics	USA/Europe market	2010s-present	DISCOVERY_SEED	P1	modern fuzz/OD	Effects Database; Equipboard; official site	Prioritize fuzz and overdrive family enumeration, including limited editions.
Spaceman Effects	USA	2010s-present	DISCOVERY_SEED	P0	modern boutique dirt	Effects Database; Equipboard; official site	Large variant-rich catalog; distinguish original runs, current production and special editions.
Benson Amps / Effects	USA	2010s-present	DISCOVERY_SEED	P1	modern boutique dirt	Effects Database; Equipboard; official site	Search full product family and builder lineage; separate amplifier hardware from pedal products.
Greer Amps	USA	2010s-present	DISCOVERY_SEED	P1	modern boutique dirt	Effects Database; Equipboard; official site	OD/fuzz-focused catalog with likely revision and discontinued-product trail.
Wren and Cuff	USA	2000s-present	DISCOVERY_SEED	P0	modern boutique fuzz	Effects Database; Equipboard; official site	Large fuzz catalog with vintage-inspired and signature products; map product families and reissues.
Land Devices	USA	2010s-present	DISCOVERY_SEED	P1	modern boutique dirt/hybrid	Effects Database; Equipboard; official site	Small-run builder; prioritize obscure/discontinued products and specimen photos.
MAE / Mask Audio Electronics	USA	2010s-present	DISCOVERY_SEED	P0	modern experimental dirt	Effects Database; Equipboard; official site	Experimental dirt maker; capture product variants, collaborative editions and discontinuations.
Mid-Fi Electronics	USA	2000s-present	DISCOVERY_SEED	P0	modern experimental dirt	Effects Database; Equipboard; official site	Large and irregular catalog; model aliases and multiple runs need careful normalization.
Industrialectric	USA	2010s-present	DISCOVERY_SEED	P1	modern experimental dirt	Effects Database; Equipboard; official site	Obscure modern builder; search current, discontinued and limited-run dirt products.
Dwarfcraft Devices	USA	2000s-2020s	DISCOVERY_SEED	P0	modern experimental dirt	Effects Database; Equipboard; Reverb; forums	Discontinued builder; prioritize archival product pages and used-market photography.
Black Mass Electronics	USA	2010s-present	DISCOVERY_SEED	P1	modern boutique dirt	Effects Database; Equipboard; official site	Catalog and collaboration history require breadth-first enumeration.
KMA Machines	Germany	2010s-present	DISCOVERY_SEED	P1	modern boutique dirt/hybrid	Effects Database; Equipboard; official site	German builder; search English and German product names.
Aclam Guitars	Spain	2010s-present	DISCOVERY_SEED	P1	modern boutique dirt	Effects Database; Equipboard; official site	Spanish builder with amp-inspired dirt and specialist products.
Coda Effects	France	2010s-present	DISCOVERY_SEED	P1	modern boutique dirt/hybrid	Effects Database; Equipboard; official site	French builder; document discontinued and DIY-adjacent commercial products separately.
Demedash Effects	USA	2010s-present	DISCOVERY_SEED	P1	modern experimental dirt/hybrid	Effects Database; Equipboard; official site	Experimental catalog; preserve hardware revisions and boutique limited editions.
Mattoverse Electronics	USA	2010s-present	DISCOVERY_SEED	P1	modern experimental dirt/hybrid	Effects Database; Equipboard; official site	Broad hybrid builder; identify central dirt products without inflating non-dirt catalog.
Dawner Prince Electronics	Croatia	2010s-present	DISCOVERY_SEED	P1	modern boutique dirt/hybrid	Effects Database; Equipboard; official site	Regional European builder; search current and historical product families.
Empress Effects	Canada	2000s-present	DISCOVERY_SEED	P1	modern effects with dirt	Effects Database; Equipboard; official site	Broad builder; isolate dirt models while retaining larger catalog boundary context.
Alexander Pedals	USA	2010s-present	DISCOVERY_SEED	P1	modern experimental dirt/hybrid	Effects Database; Equipboard	Current database coverage identifies 53 products; prioritize dirt subset and historical variants. 
Caroline Guitar Company	USA	2010s-present	DISCOVERY_SEED	P0	modern boutique dirt	Effects Database; Equipboard	Current database coverage identifies 25 products including fuzz/distortion/OD; model variants deserve dedicated photo work.
Bondi Effects	Australia	2010s-present	DISCOVERY_SEED	P0	modern boutique overdrive	Effects Database; Equipboard	Current database coverage identifies multiple OD products and revisions; builder relocated internationally and product states need chronology.
Mythos Pedals	USA	2010s-present	DISCOVERY_SEED	P0	modern boutique dirt	Effects Database; Equipboard	Current database coverage identifies a substantial OD/fuzz catalog; map family and signature/collaboration states.
Jackson Audio	USA	2010s-present	DISCOVERY_SEED	P0	modern boutique dirt/hybrid	Effects Database; Equipboard	Current database coverage identifies OD/distortion/fuzz and MIDI-equipped products; preserve hardware/firmware generations where relevant.
ThorpyFX	United Kingdom	2010s-present	DISCOVERY_SEED	P0	modern boutique dirt	Effects Database; Equipboard	Current database coverage identifies a broad 37-product line with OD/fuzz/distortion; document design collaborations and revisions.
Rainger FX	United Kingdom	2000s-present	DISCOVERY_SEED	P0	modern experimental dirt/hybrid	Effects Database; Equipboard	Current database coverage identifies fuzz, OD and distortion alongside unusual hybrids; strong micro-builder/photo target.
Drolo	Belgium	2010s-present	DISCOVERY_SEED	P1	modern experimental dirt/hybrid	Effects Database; Equipboard	Small-batch builder with versioned products; document dirt products without confusing multi-effects variants.
Montreal Assembly	Canada	2010s-present	DISCOVERY_SEED	P1	modern experimental dirt/hybrid	Effects Database; Equipboard	Current database coverage identifies fuzz and experimental delay; search broader catalog and retired products.
Red Panda	USA	2010s-present	DISCOVERY_SEED	P1	modern experimental dirt/hybrid	Effects Database; Equipboard	Experimental builder; search for dirt/hybrid boundary products and discontinued hardware states.
Prescription Electronics	USA	1990s-2020s	DISCOVERY_SEED	P0	1990s-to-modern bridge	Effects Database; Equipboard; Reverb	Older boutique builder with a modern/relaunch phase; preserve original and relaunch identities separately.
T. Jauernig Electronics	USA	2000s-present	DISCOVERY_SEED	P1	modern boutique dirt	Equipboard; official site	Current database coverage identifies 13 products including multiple drive/distortion products; complete builder catalog required.
Catalinbread	USA	2000s-present	DISCOVERY_SEED	P0	modern boutique dirt	Effects Database; Equipboard	Already known in master census but keep on modern breadth sweep until full catalog audit is complete.
Lovepedal	USA	2000s-present	DISCOVERY_SEED	P0	modern boutique dirt	Effects Database; Equipboard	Large OD/fuzz catalog and many limited/special production states; modern breadth sweep target.
SIB Electronics	USA	1990s-2000s	DISCOVERY_SEED	P1	1990s-to-modern bridge	Effects Database; Equipboard	Current database coverage identifies 11 products; isolate dirt and discontinued history.
FTelettronica	Italy	2000s-present	DISCOVERY_SEED	P1	modern regional boutique	Equipboard	Current database coverage identifies 63 products across many categories; dirt subset should be enumerated separately.
BFFX	Brazil	2010s-present	DISCOVERY_SEED	P1	modern regional boutique	Equipboard	Current database coverage identifies six products; useful South American modern-builder target.
SEHAT Effectors	Indonesia	2010s-present	INDEXED_BASELINE_MAPPED	P1	modern regional boutique	Effects Database; official site	Already mapped but should remain in quarterly modern sweeps for current-product changes.
Free The Tone	Japan	1990s-present	INDEXED_BASELINE_MAPPED	P1	modern Japanese boutique	Effects Database; official site	Already mapped; continue modern catalog snapshots and new-model detection.
Providence	Japan	1990s-present	INDEXED_BASELINE_MAPPED	P1	modern Japanese boutique	Effects Database; official site	Already mapped; continue modern catalog snapshots and discontinued-state detection.
Gamechanger Audio	Latvia	2010s-present	CENSUS_ONLY	P1	modern regional boutique	Effects Database; Equipboard; official site	Needs complete modern product enumeration with dirt-focused categorization.
GFI System	Indonesia	2010s-present	CENSUS_ONLY	P1	modern regional boutique	Equipboard; official site	Needs complete modern product enumeration and dirt-boundary review.
