canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
JHS Pedals	Morning Glory	OVERDRIVE	ENUMERATED	Core JHS overdrive family; V4 and current retail states should be separated where identification evidence warrants.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	Morning Glory V4	OVERDRIVE	ENUMERATED	Explicit current production state.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	Bonsai	OVERDRIVE	ENUMERATED	Multi-voice overdrive family.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	Angry Charlie	DISTORTION	ENUMERATED	Marshall-style distortion family; V3 retained separately.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	Angry Charlie V3	DISTORTION	ENUMERATED	Explicit current production state.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	Charlie Brown	OVERDRIVE	ENUMERATED	British-style overdrive family; V4 retained separately.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	Charlie Brown V4	OVERDRIVE	ENUMERATED	Explicit current production state.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	Kilt	OVERDRIVE_DISTORTION	ENUMERATED	Collaboration/dual-identity product; V2 and Kilt 10 need separate marketed-state records.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	Kilt V2	OVERDRIVE_DISTORTION	ENUMERATED	Explicit production state.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	Kilt 10	OVERDRIVE_DISTORTION	ENUMERATED	Current 10th-anniversary/collaboration state.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	PackRat	DISTORTION	ENUMERATED	RAT-family multi-variant distortion product; retain distinct from ProCo.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	PackRat White	DISTORTION	ENUMERATED	Explicit finish/production variant, useful for specimen identification.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	Muffuletta	FUZZ	ENUMERATED	Multi-variant Muff family; retain distinct from EHX retail products.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	Cheese Ball	FUZZ	ENUMERATED	Fuzz family product.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	The Violet	OVERDRIVE_DISTORTION	ENUMERATED	Gain family; current site uses Violet/The Violet naming across collection pages.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	3 Series Fuzz	FUZZ	ENUMERATED	Current 3 Series fuzz family member.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	3 Series Distortion	DISTORTION	ENUMERATED	Current 3 Series distortion family member.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	3 Series Screamer	OVERDRIVE	ENUMERATED	Current 3 Series overdrive family member.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	Hard Drive	DISTORTION	ENUMERATED	Current distortion family member.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	Colour Box	PREAMP_OVERDRIVE_BOUNDARY	ENUMERATED	Gain/preamp product; keep near scope boundary unless evidence supports central dirt classification.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	Colour Box V2	PREAMP_OVERDRIVE_BOUNDARY	ENUMERATED	Explicit current production state.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	Crayon	OVERDRIVE	ENUMERATED	Current fuzz/distortion collection lists Crayon; linked EHX relationship requires builder-role reconciliation.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	Coyote	FUZZ_DISTORTION	ENUMERATED	2026 release; current fuzz/distortion family.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	Double Dragon	FUZZ_DISTORTION	ENUMERATED	2026 release; current dirt family.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	EHX by JHS - Big Muff 2	FUZZ	ENUMERATED	Collaboration product; retail identity remains JHS/ EHX relationship, not a duplicate builder entity.	https://jhspedals.info/collections/fuzz-distortion
JHS Pedals	Moonshine	OVERDRIVE	ENUMERATED	Overdrive family; current site lists Moonshine V2.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	Moonshine V2	OVERDRIVE	ENUMERATED	Explicit later production state.	https://jhspedals.info/collections/overdrive-distortions
JHS Pedals	PG-14	OVERDRIVE	ENUMERATED	Paul Gilbert signature overdrive.	https://jhspedals.info/collections/overdrive-distortions
