canonical_builder	related_entity	relationship_type	period	confidence	archive_treatment	evidence
Sola Sound / Colorsound	Vox (JMI / Vox)	OEM / marketed-brand relationship	1966-1970s	HIGH	Keep Vox searchable, link relevant Tone Bender states to Sola Sound or JEN by model/period.	Sola Sound supplied Vox Tone Bender variants; later Vox V828 was JEN-made in Italy. https://www.guitarworld.com/features/the-history-of-the-sola-sound-tone-bender ; https://www.guitarcenter.com/riffs/gear-tips/amplifiers--effects/history-tone-bender
Sola Sound / Colorsound	Marshall	OEM then manufacturer transition	1966-c.1973	HIGH	Treat Sola-built Marshall Supa Fuzz and later Marshall-built Supa Fuzz as separate production states.	https://fuzzboxes.org/marshallsupafuzz
Sola Sound / Colorsound	Rotosound	OEM / private-label	1966-early 1970s	HIGH	Keep Rotosound Fuzz Box as marketed entity; link multiple Sola-built states and brief Jennings-branded period.	https://fuzzboxes.org/rotosoundfuzzbox
Sola Sound / Colorsound	Park	OEM / marketed-brand	late 1960s-1970s	MEDIUM-HIGH	Retain Park Fuzz Sound as marketed product tied to Sola Sound production where documented.	https://www.guitarworld.com/features/the-history-of-the-sola-sound-tone-bender
Sola Sound / Colorsound	Carlsboro	OEM / marketed-brand	late 1960s-1970s	MEDIUM	Keep as relationship node pending deeper catalog reconciliation.	https://www.guitarworld.com/features/the-history-of-the-sola-sound-tone-bender
JEN Elettronica	Vox V828 Tone Bender	OEM manufacturer	1967 onward	HIGH	Canonical physical manufacturer is JEN; Vox remains marketed brand/model identity.	https://www.guitarcenter.com/riffs/gear-tips/amplifiers--effects/history-tone-bender
JEN Elettronica	Elka	OEM / shared enclosure-production lineage	1960s-1970s	MEDIUM-HIGH	Do not create duplicate factory entity when JEN-made Elka fuzz evidence applies.	https://en.wikipedia.org/wiki/Tone_Bender
JEN Elettronica	Gretsch	OEM / relationship candidate	1960s-1970s	MEDIUM	Retain marketed brand and keep factory attribution model-specific.	https://en.wikipedia.org/wiki/Tone_Bender
Guild / Foxey Lady	Mosrite	OEM manufacturer	1968	HIGH	Mosrite-built Foxey Lady is a distinct production state under Guild retail identity.	https://fuzzboxes.org/features/fuzzrite
Guild / Foxey Lady	Electro-Harmonix	Manufacturer / supplier transition	1968 onward	MEDIUM-HIGH	Do not merge Mosrite-built and EHX-built Foxey Lady records; date each state from surviving evidence.	https://fuzzboxes.org/features/fuzzrite ; https://www.ehx.com/the-ehx-story//
Shin-Ei	Companion	Brand / product-line relationship	1960s-1970s	HIGH	Use Shin-Ei as canonical manufacturer-family node with Companion retained as marketed identity.	https://www.effectsdatabase.com/model/shinei/companion
Shin-Ei	Honey	OEM / predecessor-related marketed identity	1960s-1970s	MEDIUM	Keep Honey searchable and preserve unresolved generation/factory boundaries.	https://www.effectsdatabase.com/model/honey/babycrying
Shin-Ei	Univox	OEM / distributor / marketed-brand relationship	1960s-1970s	MEDIUM-HIGH	Do not collapse Univox into Shin-Ei; attach model-specific factory relationships.	https://www.effectsdatabase.com/model/univox
Nisshin Onpa / Maxon	Ibanez	OEM / engineering / marketed-brand relationship	1970s-present	HIGH	Preserve Maxon/Nisshin Onpa as manufacturer-engineering lineage and Ibanez as retail brand.	https://www.effectsdatabase.com/model/maxon ; https://www.ibanez.com/na/news/detail/20230417130824.html
Nisshin Onpa / Maxon	Greco	OEM / marketed-brand relationship	late 1960s-1970s	MEDIUM-HIGH	Retain Greco No.35 as separate marketed identity with evidence-qualified Nisshin attribution.	https://www.effectsdatabase.com/model/greco/fuzzbooster
Coron Musical Instrument Co.	Grant	OEM / private-label	late 1970s-early 1980s	HIGH	Keep Grant product names searchable, but manufacturer canonicalized to Coron where evidence supports.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	Storm	OEM / private-label	late 1970s-early 1980s	HIGH	Model-specific Coron relationship.	https://www.effectsdatabase.com/model/coron/first/distortion
Coron Musical Instrument Co.	Asama Engineering	OEM / private-label	late 1970s-early 1980s	MEDIUM-HIGH	Retain Asama as marketed relationship, not separate physical builder unless contrary evidence appears.	https://www.effectsdatabase.com/model/coron/first/distortion
DOD	DigiTech	Corporate / brand lineage	1980s-present	HIGH	Keep DOD and DigiTech distinct for historical product identity.	https://digitech.com/history/
BOSS	Roland	Parent-company / brand relationship	1977-present	HIGH	BOSS remains public builder/brand identity; Roland is parent-company lineage.	https://www.roland.com/global/categories/effects/
MXR	Jim Dunlop	Acquisition / revival / continuation	1980s-present	HIGH	Separate original MXR production from Dunlop-era continuation and reissues.	https://lifestyle.jimdunlop.com/mxr-a-short-history/
Fulltone	Fulltone Custom Shop	Same-builder production-state relationship	2020s	HIGH	Do not treat Custom Shop labels as separate builders.	https://www.fulltoneusa.com/
