record_id	marketed_identity	model_or_family	country	period	physical_builder_candidate	relationship_type	confidence	status	evidence_summary	source_1	source_2
US-ECF-001	Clark	SS-600 Fuzz Tone	USA	1968-1970s	Clark Music Industries / Clark Electronics	physical manufacturer candidate	HIGH	RESEARCH_VALIDATED	Clark-branded units carry a Manufactured and Distributed by Clark Music Industries statement, while former Clark employee Rich Excellente described wiring fuzz boxes at the three-person Clark Electronics operation in Clark, New Jersey. This strongly supports Clark involvement and builder status for the Clark-branded state, while the broader East Coast family remains unresolved.	https://www.tonemachinesblog.com/2024/11/mystery-of-east-coast-fuzz.html	https://www.tonemachinesblog.com/2025/08/mannys-fuzz-1968-clark-orpheum-et-al.html
US-ECF-002	Manny's	Fuzz	USA	by Jan 1968	unknown East Coast builder	marketed state / shared family	MEDIUM	RESEARCH_ONLY	A January 18 1968 Cleveland newspaper advertisement establishes Manny's Fuzz in legitimate retail distribution, but current evidence does not identify the physical factory. It should not be assigned to Clark solely from family resemblance.	https://www.tonemachinesblog.com/2025/08/mannys-fuzz-1968-clark-orpheum-et-al.html	https://www.effectsdatabase.com/model/mannys/fuzz
US-ECF-003	Orpheum	Fuzz	USA	by Sep 1968	unknown East Coast builder	marketed state / shared family	MEDIUM	RESEARCH_ONLY	A September 13 1968 St. Louis Post-Dispatch classified documents an Orpheum Fuzz in circulation. Fuzzboxes identifies Orpheum as one of the known East Coast Fuzzrite-family marketed identities, but physical builder remains unresolved.	https://www.tonemachinesblog.com/2025/08/mannys-fuzz-1968-clark-orpheum-et-al.html	https://fuzzboxes.org/features/fuzzrite
US-ECF-004	E.U. Wurlitzer	Fuzzer Buzzer	USA	late 1960s	unknown / candidate	shared family marketed state	LOW	HOLD_FOR_REVIEW	Fuzzboxes lists the Boston E.U. Wurlitzer Fuzzer Buzzer among the East Coast Fuzz identities. A surviving late-1960s example has a 20th-week-1967 pot code, but a marketplace listing's claim of Apollo/Orpheum Japanese production is seller-level evidence and is not treated as factory attribution.	https://fuzzboxes.org/features/fuzzrite	https://reverb.com/item/5321273-wurlitzer-fuzzer-buzzer-late-1960-s
US-ECF-005	MGI	Fuzz	USA	late 1960s	unknown	shared family marketed state	LOW	HOLD_FOR_REVIEW	Effects Database groups MGI Fuzz with Clark, E.U. Wurlitzer, Halifax, Orpheum, Manny's, Mica-Tone, Andre and AAT states. A 2009 specialist forum identifies MGI as the same family as Orpheum and others, but does not establish the physical factory.	https://www.effectsdatabase.com/model/mgi/fuzz	https://www.freestompboxes.org/viewtopic.php?sid=14da6457a6455907303f98eaf524a6e9&t=4294
US-ECF-006	Andre	Fuzzier	USA	late 1960s	unknown East Coast builder	shared family marketed state	LOW	HOLD_FOR_REVIEW	Fuzzboxes identifies Andre Fuzzier as an East Coast marketed identity founded by Gene Andre in New Jersey. Current evidence supports family membership but not a physical-builder assignment.	https://fuzzboxes.org/features/fuzzrite	https://www.effectsdatabase.com/model/mgi/fuzz
US-ECF-007	Gracin's	Fubar	USA	late 1960s	unknown	shared family marketed state	LOW	HOLD_FOR_REVIEW	Fuzzboxes and Effects Database identify Gracin's Fubar as an East Coast family member. Fuzzboxes notes that the link to Bernie Gracin's New York music-store chain remains unconfirmed, so both branding and factory remain open questions.	https://fuzzboxes.org/features/fuzzrite	https://www.effectsdatabase.com/model/mgi/fuzz
US-ECF-008	Mica-Tone	Fuzz	USA	late 1960s	unknown	shared family marketed state	LOW	HOLD_FOR_REVIEW	Effects Database groups Mica-Tone with the Orpheum and Manny's forms. The current evidence supports family identity only and does not identify a physical manufacturer.	https://www.effectsdatabase.com/model/mgi/fuzz	https://fuzzboxes.org/features/fuzzrite
US-ECF-009	AAT	Fuzzier	USA	late 1960s	unknown	shared family marketed state	LOW	HOLD_FOR_REVIEW	Effects Database and specialist forum evidence place AAT Fuzzier in the same East Coast family as Orpheum, Manny's, Andre and related variants. Physical builder remains unknown.	https://www.effectsdatabase.com/model/mgi/fuzz	https://www.freestompboxes.org/viewtopic.php?sid=14da6457a6455907303f98eaf524a6e9&t=4294
US-ECF-010	Tim's Own	Fuzzer Buzzer	USA	late 1960s	unknown	shared family marketed state	LOW	HOLD_FOR_REVIEW	Effects Database groups Tim's Own Fuzzer Buzzer with Orpheum and MGI variants. No independent physical-builder attribution was found in the current evidence set.	https://www.effectsdatabase.com/model/mgi/fuzz	https://fuzzboxes.org/features/fuzzrite
