canonical_builder	retail_model_or_family	category	documentary_anchor	production_or_circulation_note	evidence_class	attribution_note	source_ref
G. P. Electronics	Harmonic Generator	Fuzz	c.1964	earliest British fuzz candidate in the surviving chronology; original surviving specimen not documented	SPECIALIST_HISTORICAL	Later evidence identifies this as the earlier design copied by Baldwin-Burns Buzzaround; preserve as antecedent, not as proven mass-production chronology.	https://fuzzboxes.org/timeline; https://fuzzboxes.org/buzzaround
WEM	Rush Pep Box	Fuzz	1965-1967	commercial WEM fuzz with surviving examples	SPECIALIST_HISTORICAL	Pepe Rush invention later marketed by WEM.	https://fuzzboxes.org/projectv
WEM	Project V	Fuzz	1968 earliest surviving examples; advertised 1969	distinct later WEM fuzz generation	SPECIALIST_HISTORICAL	Do not derive production start solely from internal date codes.	https://fuzzboxes.org/projectv
Rotosound	Fuzz Box	Fuzz	1966	Sola Sound supplied Rotosound-branded fuzz boxes; later pressed-steel variants continued into the 1970s	OEM_RELATIONSHIP	Rotosound is a marketed brand, Sola Sound is the documented supplier/manufacturer.	https://fuzzboxes.org/rotosoundfuzzbox; https://fuzzboxes.org/timeline
Baldwin-Burns / Burns London	Buzzaround	Fuzz	1966 price-list anchor; surviving examples later in 1966; built through early 1969	Small-number production over several years	SPECIALIST_HISTORICAL	Modern scholarship identifies Harmonic Generator as the likely antecedent and rejects unsupported Gary Hurst authorship claims.	https://fuzzboxes.org/buzzaround
Selmer (UK)	Buzz Tone	Fuzz	August 1966 trade-fair presentation	production duration unknown	SPECIALIST_HISTORICAL	Likely assembled at Selmer's Holborn factory, but the source treats that as likelihood rather than proof.	https://fuzzboxes.org/buzztone
Selmer (UK)	Fuzz-Wah	Fuzz/Wah hybrid	1968	later Selmer dirt evolution from the Buzz Tone lineage	SPECIALIST_HISTORICAL	Keep as the same Selmer builder entity and separate product record.	https://fuzzboxes.org/buzztone
John Hornby Skewes	Zonk Machine	Fuzz	mid/late 1960s	commercially distributed in the UK; precise start date unresolved	SPECIALIST_HISTORICAL	Skewes was the retail/marketing entity; original attribution and production arrangements must remain evidence-linked.	https://fuzzboxes.org/zonkmachine
John Hornby Skewes	Zonk II	Fuzz	1967	initially supplied by Sola Sound; production later taken over by Wilsic Sound around 1969	OEM_RELATIONSHIP	One retail brand with changing manufacturing relationship.	https://fuzzboxes.org/zonkmachine; https://fuzzboxes.org/timeline
John Hornby Skewes	Shatterbox	Fuzz/Boost hybrid	Spring 1969 trade-show appearance	still in production by early 1970s	SPECIALIST_HISTORICAL	Combines Zonk II and Hornby Skewes Treble Booster; retain as multi-effect dirt record.	https://fuzzboxes.org/shatterbox
Wilsic Sound	Wilsic Sound Fuzz	Fuzz	early 1970s evidence	related construction style to later Hornby Skewes production	RELATIONSHIP_SPECIMEN	Separate candidate brand/manufacturer from Hornby Skewes while documenting the shared production trail.	https://fuzzboxes.org/zonkmachine; https://fuzzboxes.org/shatterbox
Barnes & Mullins / Exel	Exel Shatterbox	Fuzz	1969 Bell Musical Instruments catalogue; early 1969 Musikmesse	production duration uncertain	MARKETED_CATALOG	Do not equate this with the Hornby Skewes Shatterbox solely by name; preserve separate marketed records until evidence links them.	https://fuzzboxes.org/exelshatterbox
Park	Park Fuzz Sound	Fuzz	late 1960s surviving specimens; exact release year unknown	surviving examples span late 1960s to mid-1970s	OEM_RELATIONSHIP	Park is the marketed brand; surviving units were rebranded Sola Sound products.	https://fuzzboxes.org/parkfuzzsound
Marshall Amplification	Supa Fuzz	Fuzz	late 1966/1967 market introduction	Sola Sound supplied early units; Marshall later manufactured the pedal; production ceased by early 1970s in some chronologies and 1974 in broader accounts	MANUFACTURER_TRANSITION	Do not collapse supplier era and Marshall-manufactured era into one synthetic production state.
https://www.sweetwater.com/insync/marshall-pedals-history/; https://www.marshallamps.jp/live_for_music/tips/history/history-of-pedals-part-1.html
