record_id	brand	model_name	variant_or_state	period	kind	differences	evidence_status	source_url	note
REC-190	DOD	FX69 Grunge	Original Lamb-series state	1991-present	Model / chronology	DigiTech history places the FX69 Grunge in the 1990s Lamb Series and describes it as one of the cornerstone extreme DOD models of the period.	VERIFIED	https://digitech.com/history/	Keep original DOD branding distinct from later DigiTech-branded Grunge variants.
REC-191	DOD	FX86 Death Metal	1994-1998	1994-1998	Model / chronology	Specialist historical documentation places FX86 Death Metal in the mid-1990s and identifies FX86B as its later successor.	RESEARCH	https://americaspedals.net/fx86.html	Exact introduction month remains uncertain.
REC-192	DOD	FX86B Death Metal Distortion	1998 closeout state	1998-2000s	Generation / branding	DigiTech product manuals preserve FX86B among the DOD FX-series models and show the Death Metal name continuing into the late FX era.	RESEARCH	https://digitech.com/product-manuals/	Country and final production boundary remain specimen-led.
REC-193	DOD	FX59 Thrash Master	Late FX-series high-gain state	1990s	Model / lineage	DigiTech product manuals list FX59 Thrash Master among the DOD FX-series, documenting another dedicated high-gain branch of the 1990s catalog.	RESEARCH	https://digitech.com/product-manuals/	Use catalog/manual presence as chronology context until dated advertising is found.
REC-194	DOD	FX70 Metal X	Late FX-series high-gain state	1990s	Model / lineage	DigiTech product manuals list FX70 Metal X among the DOD FX-series high-gain models.	RESEARCH	https://digitech.com/product-manuals/	Exact production window requires dated catalog or ad evidence.
REC-195	DOD	FX51 Juice Box Overdrive	Late FX-series overdrive state	1990s	Model / chronology	DigiTech product manuals preserve FX51 Juice Box as a DOD FX-series overdrive model, extending the overdrive branch into the late FX era.	RESEARCH	https://digitech.com/product-manuals/	Date range remains broad pending dated documents.
REC-196	DOD	FX91 Bass Overdrive	Late FX-series bass dirt state	1990s	Model / lineage	DigiTech product manuals identify FX91 Bass Overdrive as a later FX-series dirt model aimed at bass applications.	RESEARCH	https://digitech.com/product-manuals/	Dedicated bass orientation is the important external identity clue.
REC-197	DigiTech	Grunge	DigiTech rebrand state	2000s	Branding / lineage	DigiTech history states that after the DOD brand was shelved, popular DOD pedals including Grunge were shifted under the DigiTech brand.	VERIFIED	https://digitech.com/wp-content/uploads/2025/11/Badder-Monkey-Manual.pdf	Treat branding transition as a separate retail state, not a new circuit family.
REC-198	DigiTech	Death Metal	DigiTech rebrand state	2000s	Branding / lineage	DigiTech history states that the Death Metal pedal was among popular DOD products shifted under the DigiTech brand after the DOD name was shelved.	VERIFIED	https://digitech.com/wp-content/uploads/2025/11/Badder-Monkey-Manual.pdf	Separate DOD FX86-era identity from later DigiTech retail presentation.
REC-199	DigiTech	Screamin Blues Overdrive	XS Series analog state	2000s	Model / lineage	DigiTech history describes Screamin Blues as one of the new analog distortion pedals introduced in the XS Series after the DOD-to-DigiTech branding transition.	VERIFIED	https://digitech.com/wp-content/uploads/2025/11/Badder-Monkey-Manual.pdf	Useful bridge from DOD analog dirt into DigiTech-branded analog pedals.
REC-200	DigiTech	Hot Head	XS Series analog state	2000s	Model / lineage	DigiTech history names Hot Head as one of the three new analog distortion designs released in the XS Series around 2004.	VERIFIED	https://digitech.com/wp-content/uploads/2025/11/Badder-Monkey-Manual.pdf	Retain product-format and branding evidence only.
REC-201	DigiTech	Bad Monkey Overdrive	XS Series analog state	2004-present legacy	Model / chronology	DigiTech history states that the Bad Monkey was developed in 2004 as part of the XS Series and remained in production until 2015.	VERIFIED	https://digitech.com/wp-content/uploads/2025/11/Badder-Monkey-Manual.pdf	Useful example of DOD engineering continuing under DigiTech branding.
REC-202	ProCo	SOLO	Post-Deucetone RAT branch	2006-present	Model / lineage	Historical ProCo references date the SOLO to 2006-present and describe it as a distinct RAT-family model with asymmetrical clipping and switchable voicings.	RESEARCH	https://griffineffects.com/files/articles/rathistory/solo.php	Keep separate from RAT2/Turbo RAT and from Deucetone.
REC-203	ProCo	25th Silver Anniversary RAT	Anniversary reissue state	2003	Edition / chronology	ProCo RAT history references the 25th Silver Anniversary RAT as a 2003 commemorative model.	RESEARCH	https://griffineffects.com/info/articles/proco-rat-history	Edition should remain distinct from ordinary production RAT2.
REC-204	Fulltone	Full-Drive	Early boutique overdrive family	1990s	Boutique / model family	Fulltone states the company was founded in 1991 and current Full-Drive 2 material explicitly describes the 1990s Full-Drive circuit as its lineage.	VERIFIED	https://www.fulltoneusa.com/pages/about	Exact first-sales year of the original Full-Drive needs period catalog evidence.
REC-205	ZVEX	Fuzz Factory	Original boutique fuzz state	Late 1990s-2000s	Boutique / model lineage	ZVEX states the company began making pedals in 1995 and identifies Fuzz Factory as a core hand-painted ZVEX product.	RESEARCH	https://www.zvex.com/guitar-pedals/fuzz-factory-guitar-effects-pedal	Exact original launch year remains a dated-specimen research target.
REC-206	Love Pedal	FAB 50	Early boutique overdrive/fuzz state	1990s	Boutique / model lineage	Love Pedal history says Sean began designing pedals in the early 1990s and that the FAB 50 emerged after several years of development.	RESEARCH	https://www.lovepedal.com/history/	Treat chronology as brand-history evidence rather than a precise launch date.
