name	entity_type	region	era_bucket	dirt_evidence	research_status	priority	source_refs	notes
Cause & Effect Pedals (CE Pedals)	Builder / brand	Canada	2008-present	FET Dream	CANONICAL_BASELINE	P0	https://www.effectsdatabase.com/model/cepedals ; https://www.effectsdatabase.com/interviews/brands/cepedals	Mark Roberts and Brian Alexson; design began in fall 2008, first FET Dream shipments March 2009. Indexed catalog is only one documented product, so no larger catalog assumed.
Chellee Guitars	Builder / brand	USA?	2009-present	Odelya; later Odie family	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/chellee/odelya ; https://www.effectsdatabase.com/updates/weekly/20100802	Odelya design began early 2009 and was documented in 2010. Later Odie products are separate later-era catalog records, not retroactively assigned to 2010.
RPG Electronics	Builder / marketed production	Unknown	2010	Blue Flame	DISCOVERY_BASELINE	P2	https://www.effectsdatabase.com/model/rpg/blueflame ; https://www.effectsdatabase.com/updates/weekly/20100802	Blue Flame was made for Blue Flame Music; physical production identity is not yet sufficiently documented.
RWL Electronics	Builder	Unknown	2008-2010	C.A.B. Driver	DISCOVERY_BASELINE	P2	https://www.effectsdatabase.com/model/rwl/cabdriver ; https://www.effectsdatabase.com/updates/weekly/20100802	Two years of experimentation are documented before the 2010 catalog publication; geography and broader catalog need follow-up.
Viva Analog	Builder / DIY maker	Canada	1995-2012+	360 Fuzz; 360+; Octave Amp	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/vivaanalog	Jean-Charles Maillet; history predates boutique-wave period substantially, but spring 2012 is a clear catalog expansion point for pro-grade DIY effect kits. Distinguish kits from completed pedals.
Castledine Electronics	Builder / revival maker	UK	2010+	Supa Fuzz MkI; MkOne Bender; Magical Mystery Box	CANONICAL_BASELINE	P1	https://www.effectsdatabase.com/model/castledine/bender/mk1 ; https://www.effectsdatabase.com/updates/weekly/20100802	Stuart Castledine. Preserve his vintage-style Tone Bender/Supa Fuzz work as revival/recreation lineage separate from original Sola Sound/Marshall manufacture.
Buffalo FX	Builder	UK	2012+	Fuzz Face Ge; Germanium Fuzz; CVIII; 18V Power Booster; Evolution	CANONICAL_BASELINE	P0	https://www.effectsdatabase.com/model/buffalofx/fuzz/germanium ; https://www.effectsdatabase.com/model/buffalofx/cviii ; https://www.effectsdatabase.com/model/buffalofx/powerbooster	Strong early catalog with explicit limited V1 and later transistor-generation states on Germanium Fuzz. Exact company founding date remains unresolved in this batch.
Enormous Door FX	Builder	USA	2013+	ATX Dynamic Overdrive; ICBM / SCUD Fuzz	DISCOVERY_BASELINE	P1	https://www.effectsdatabase.com/model/enormousdoor/atx ; https://www.effectsdatabase.com/model/enormousdoor/icbm	Austin, Texas. ICBM is documented as the original version later renamed SCUD Fuzz after a trademark conflict. Preserve naming transition.
Vertex	Builder	USA	2014+	Dynamic Distortion; later Vertex dirt catalog	DISCOVERY_BASELINE	P1	https://www.effectsdatabase.com/model/vertex/dynamicdistortion ; https://www.effectsdatabase.com/model/vertex	Dynamic Distortion is an early indexed dirt anchor from Feb 2014; full early catalog chronology and any predecessor/modification business should be researched separately.
Champ Electronics	Builder	UK	2009+	TreBoost Plus	DISCOVERY_BASELINE	P2	https://www.effectsdatabase.com/model/champ ; https://www.effectsdatabase.com/interviews/brands/champ	John Chambers, Nottingham. 2009 TreBoost Plus documentation and 2011 interview establish in-house hand-built, hand-wired production and made-to-order terms. Treble boost is retained as dirt-adjacent historical scope.
Plugged It!	Builder	Unknown	2009+	Ge Fuzz; Fuzz Lab; Dual Distortion; Green Box	DISCOVERY_BASELINE	P2	https://www.effectsdatabase.com/model/pluggedit/fuzz/ge ; https://www.effectsdatabase.com/updates/weekly/20090316	2009 catalog discovery includes several dirt products. Physical identity/geography and full catalog require reconciliation before canonical promotion.
