canonical_entity	alias_or_duplicate	collision_type	status	confidence	action	source_files
Honey FY-6	Shin-Ei FY-6	SUCCESSOR_MARKETING_LINEAGE	LINKED_NOT_DUPLICATE	HIGH	Keep separate retail/identity records; link via lineage edge	builder-catalog-japanese-oem-network-completion-01.tsv;public-lineage-runtime-candidates-02.tsv
Shin-Ei FY-6	Univox Super-Fuzz	OEM_MARKET_LINEAGE	LINKED_NOT_DUPLICATE	HIGH	Keep manufacturer/importer/retail roles distinct	builder-catalog-japanese-oem-network-completion-01.tsv;public-lineage-runtime-candidates-02.tsv
JEN Fuzz	Vox V828/V8281	OEM_CONTRACT_LINEAGE	LINKED_NOT_DUPLICATE	HIGH	Keep JEN as physical manufacturer and Vox as retail identity	japanese-oem-evidence-qualified-05.tsv;public-lineage-runtime-candidates-02.tsv
JEN Fuzz	Elka Fuzz	OEM_REBRAND	LINKED_NOT_DUPLICATE	HIGH	Do not collapse marketed name into JEN canonical builder	japanese-oem-evidence-qualified-05.tsv;public-lineage-runtime-candidates-02.tsv
JEN Fuzz	Unicord Fuzz	OEM_REBRAND	LINKED_NOT_DUPLICATE	HIGH	Keep distributor/market identity distinct	builder-catalog-japanese-oem-network-completion-01.tsv;public-lineage-runtime-candidates-02.tsv
Coron Distortion 10	Grant Distortion 10	OEM_REBRAND	LINKED_NOT_DUPLICATE	HIGH	Canonicalize manufacturer as Coron; preserve Grant retail name	coron-catalog-completion-02.tsv;public-lineage-runtime-candidates-02.tsv
Coron Over Drive	Storm Over Drive	OEM_REBRAND	LINKED_NOT_DUPLICATE	HIGH	Canonicalize manufacturer as Coron; preserve Storm retail name	coron-catalog-completion-02.tsv;public-lineage-runtime-candidates-02.tsv
Colorsound Power Boost	Colorsound Overdriver	SUCCESSOR_MARKETING_LINEAGE	LINKED_NOT_DUPLICATE	HIGH	Keep period production/name states separate	colorsound-catalog-expansion-03.tsv;public-lineage-runtime-candidates-02.tsv
Park Fuzz Sound	Sola Sound Tone Bender Fuzz family	OEM_LINEAGE	LINKED_NOT_DUPLICATE	HIGH	Preserve Park as marketed identity; link to production family	colorsound-catalog-expansion-03.tsv;public-lineage-runtime-candidates-02.tsv
Carlsbro Fuzz	Sola Sound Tone Bender Fuzz family	OEM_LINEAGE	LINKED_NOT_DUPLICATE	HIGH	Preserve Carlsbro as marketed identity; link to production family	colorsound-catalog-expansion-03.tsv;public-lineage-runtime-candidates-02.tsv
CSL Super Fuzz	Sola Sound Tone Bender Fuzz family	OEM_LINEAGE	LINKED_NOT_DUPLICATE	HIGH	Preserve CSL identity; link to production family	colorsound-catalog-expansion-03.tsv;public-lineage-runtime-candidates-02.tsv
Ibanez SF5	Ibanez FZ5	SUCCESSOR_MODEL_LINEAGE	LINKED_NOT_DUPLICATE	HIGH	Keep distinct product records and connect with successor edge	soundtank-public-safe-02.tsv;public-lineage-runtime-candidates-02.tsv
Teisco Fuzz Machine	Ibanez Standard Fuzz No.59	OEM_FAMILY	REVIEW_REQUIRED	MEDIUM	Do not publish as definitive factory match yet	soundtank-public-safe-02.tsv;public-lineage-runtime-candidates-02.tsv
Ibanez SoundTank family	Maxon	MANUFACTURING_RELATIONSHIP	REVIEW_REQUIRED	MEDIUM	Do not blanket-merge; resolve model-by-model exceptions	soundtank-public-safe-02.tsv;public-lineage-runtime-candidates-02.tsv
Supa Tone Bender	Jumbo Tone Bender	PRODUCT_FAMILY	REVIEW_REQUIRED	MEDIUM	Keep as separate products until chronology/relationship is stronger	colorsound-catalog-expansion-03.tsv;public-lineage-runtime-candidates-02.tsv
FY-6	FY-2	PRODUCT_FAMILY	NOT_A_DUPLICATE	HIGH	Do not collapse Shin-Ei fuzz families by model number alone	builder-catalog-japanese-oem-network-completion-01.tsv
WF-8	WF-24	PRODUCT_FAMILY	NOT_A_DUPLICATE	HIGH	Keep separate product identities	builder-catalog-japanese-oem-network-completion-01.tsv
DOD	DigiTech	BRAND_FAMILY	NOT_A_DUPLICATE	HIGH	Keep brand histories distinct while linking corporate family	builder-catalog-dod-completion-02.tsv
BOSS	Roland	BRAND_MANUFACTURER_RELATIONSHIP	NOT_A_DUPLICATE	HIGH	Keep BOSS product identity distinct; retain Roland relationship	builder-catalog-boss-completion-03.tsv
SoundTank	TS5	MODEL_SPECIFIC_EXCEPTION	REVIEW_REQUIRED	HIGH	Maintain exception row; do not inherit family-level manufacturer claim	soundtank-model-specific-reconciliation-02.tsv;soundtank-public-safe-02.tsv
