canonical_builder	identity_status	region	era_bucket	model	category	catalog_status	relationship_notes	source_trail
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	1966-1973+	Supa Fuzz	fuzz	INDEXED_RELATIONSHIP	Early Supa Fuzz units were supplied by Sola Sound, with Marshall taking over manufacture around August 1968; keep outsourced and in-house states separate	https://fuzzboxes.org/marshallsupafuzz
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	1966	Supa Fuzz MKI	fuzz	INDEXED_RELATIONSHIP	Short-lived early production state with a filter-labeled control; Fuzzboxes treats it as a standard production model rather than merely a prototype	https://fuzzboxes.org/marshallsupafuzz
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	1968-c.1973	Supa Fuzz Marshall-manufactured state	fuzz	INDEXED_RELATIONSHIP	Marshall-built successor to the Sola Sound-supplied Supa Fuzz, still closely related to the Tone Bender MkII family	https://fuzzboxes.org/marshallsupafuzz
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	1988-1990s	The Guv'nor	 distortion	INDEXED_RELATIONSHIP	First Marshall stompbox return after the late-1960s Supa-Fuzz/Supa-Wah period; original model includes an effects-loop jack and early UK production states	https://aionfx.com/project/equinox-amp-overdrive/ ; https://www.sweetwater.com/insync/marshall-pedals-history/
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	1991-1990s	DriveMaster	distortion	INDEXED_RELATIONSHIP	1991 successor to Guv'nor; closely related design lineage with effects loop removed, distinct retail model	https://aionfx.com/project/equinox-amp-overdrive/ ; https://www.sweetwater.com/insync/marshall-pedals-history/
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	1991-1990s	ShredMaster	distortion	INDEXED_RELATIONSHIP	Member of 1991 trio with DriveMaster and Bluesbreaker; highest-gain offering of the trio	https://www.sweetwater.com/insync/marshall-pedals-history/ ; https://www.guitarpedalx.com/news/best-of-british-guitar-pedals-and-pedal-builders
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	United Kingdom	1991-1990s	Bluesbreaker	overdrive	INDEXED_RELATIONSHIP	Original Bluesbreaker pedal launched in 1991 as a low-gain Marshall amp-inspired overdrive	https://guitar.com/reviews/effects-pedal/marshall-bluesbreaker-review/ ; https://www.sweetwater.com/insync/marshall-pedals-history/
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	UK/Offshore	1998+	Bluesbreaker II	 overdrive	INDEXED_RELATIONSHIP	1998 compact-line successor/reinterpretation, separate from original 1991 Bluesbreaker; offshore production corridor	https://www.sweetwater.com/insync/marshall-pedals-history/ ; https://www.guitarpedalx.com/news/best-of-british-guitar-pedals-and-pedal-builders
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	UK/Offshore	1998+	Guv'nor Plus GV-2	overdrive	INDEXED_RELATIONSHIP	1998 compact-line follow-up to the original Guv'nor with additional features and altered design	https://www.sweetwater.com/insync/marshall-pedals-history/ ; https://www.bonedo.de/artikel/eine-liebeserklaerung-an-den-marshall-guvnor/
Marshall Amplification	PHYSICAL_BUILDER_LINEAGE	UK/Offshore	1998+	Jackhammer JH-1	distortion	INDEXED_RELATIONSHIP	1998 compact-line distortion, historically presented as the successor/reworking of the ShredMaster concept	https://www.sweetwater.com/insync/marshall-pedals-history/ ; https://www.guitarpedalx.com/news/best-of-british-guitar-pedals-and-pedal-builders
