record_id	entity	period	location	builder_or_relationship	relationship_type	confidence	status	evidence_summary	source_1	source_2
US-OEM-AP-019	Applied Audio Products Inc.	1967-1968	Kenilworth / South Plainfield, NJ	Jack Gentul / Trans-Tek association	builder identity and facility transition	HIGH	RESEARCH_VALIDATED	Contemporary 1968 reporting places Applied Audio as an associate organization of Trans-Tek at a new South Plainfield plant where amplifiers and effects including the Applied Big Fuzz were to be built; a 1968 city directory also lists Applied Audio Products Inc. with Jack Gentul at 111 Market St., Kenilworth, anchoring the earlier facility. Exact corporate/legal relationship remains distinct from physical manufacturing evidence.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.digifind-it.com/Cranford/data/city-dirs/1968.pdf
US-OEM-AP-020	Applied Audio Products Inc.	c.1967-1970	New Jersey	Jack Gentul	physical manufacturer / OEM hub	HIGH	RESEARCH_VALIDATED	Tone Machines reconstructs Applied as the continuation of Jack Gentul's manufacturing work after Hilgen, with the same Kenilworth factory context followed by the Trans-Tek / South Plainfield association and a later Manville move. Treat the corporate chronology as researched history rather than assuming every pedal shared one exact facility.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.digifind-it.com/Cranford/data/city-dirs/1968.pdf
US-OEM-AP-021	Kimberly Buzz Box and Volume Expander	1967 interim state	Long Island / New Jersey	Applied Audio Products Inc.	period-specific OEM manufacturing	HIGH	RESEARCH_VALIDATED	Effects Database distinguishes Kimberly v1 by LIMMCO from v2 by Applied; Tone Machines identifies Applied as the likely third-party manufacturer between the LIMMCO and later UMI production states, while preserving the inference as a manufacturing-period reconstruction rather than a direct surviving factory label.	https://www.effectsdatabase.com/model/kimberly/fuzzbox	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html
US-OEM-AP-022	UMI Buzz Tone & Volume Expander	late 1960s-early 1970s	USA	United Musical Industries	later physical manufacturer / successor production	HIGH	RESEARCH_VALIDATED	Effects Database describes UMI production and explicitly relates the model to earlier Kimberly and Applied forms; this supports UMI as a later manufacturing state without collapsing it into Applied production.	https://www.effectsdatabase.com/model/umi/buzztone	https://www.effectsdatabase.com/model/conrad/buzzbox
US-OEM-AP-023	Apollo No. 843 Buzz Box & Volume Expander	late 1960s-early 1970s	USA	United Musical Industries	OEM marketed state	HIGH	RESEARCH_VALIDATED	Effects Database groups Apollo No. 843 with UMI Buzz Tone and the earlier Kimberly / Applied family, supporting Apollo as a later UMI-marketed state rather than a separate builder attribution.	https://www.effectsdatabase.com/model/umi/buzztone	https://www.effectsdatabase.com/model/conrad/buzzbox
US-OEM-AP-024	Conrad Buzz Box & Volume Expander	late 1960s-early 1970s	USA	United Musical Industries	OEM marketed state	HIGH	RESEARCH_VALIDATED	Effects Database identifies Conrad as part of the UMI family related to earlier Kimberly and Applied examples; keep Conrad as marketed identity and UMI as the later physical builder.	https://www.effectsdatabase.com/model/conrad/buzzbox	https://www.effectsdatabase.com/model/umi/buzztone
US-OEM-AP-025	Applied Big Fuzz / Big Bass family	c.1968-1970s	New Jersey	Applied Audio Products Inc.	physical manufacturer / family anchor	MEDIUM	RESEARCH_ONLY	The contemporary-facility account explicitly names the Applied Big Fuzz among effects to be built at the Trans-Tek-associated South Plainfield plant; later database naming around Applied Big Bass is not yet sufficient to collapse all Big Fuzz / Big Bass labels into one continuous model identity.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.effectsdatabase.com/model/applied/bigbass
US-OEM-AP-026	Applied Audio Products Inc.	1968	South Plainfield, NJ	Trans-Tek Manufacturing Company	associate-organization / shared-facility relationship	HIGH	RESEARCH_VALIDATED	The 1968 historical reconstruction states that a new Trans-Tek plant in South Plainfield housed Trans-Tek and Applied Audio as an associate organization and that the facility would build amplifiers and effects pedals. This is facility evidence, not proof that Trans-Tek itself manufactured every Applied-branded unit.	https://www.tonemachinesblog.com/2025/09/applied-fuzz-and-treble-booster-ft-100.html	https://www.digifind-it.com/Cranford/data/city-dirs/1968.pdf
US-OEM-AP-027	LIMMCO / Bob Seidman	mid-1960s-early 1970s	Hicksville / Long Island, NY	Applied / Nomad / Kimberly / UMI network	distribution / OEM-network relationship	HIGH	RESEARCH_VALIDATED	Bob Seidman's LIMMCO is documented as a wholesale and distribution hub connecting Applied, Nomad, Kimberly, UMI, Guild, Goya and other East Coast effects brands. LIMMCO should not be treated as the physical builder except for the earliest Kimberly v1 state explicitly attributed to LIMMCO.	https://www.tonemachinesblog.com/2024/09/limmco-owner-bob-seidman-interview.html	https://www.effectsdatabase.com/model/kimberly/fuzzbox
US-OEM-AP-028	Nomad Banshee Fuzz	c.1968 candidate	USA	Applied Audio Products Inc. / LIMMCO distribution	OEM manufacture / house-brand distribution	MEDIUM	RESEARCH_ONLY	Tone Machines identifies the Nomad version as an Applied-made product distributed through LIMMCO and repeatedly cautions that its manufacturing date is unknown. Do not hard-date the Banshee from pot codes alone because Applied used surplus components.	https://www.tonemachinesblog.com/2023/03/the-bansheeeeeeeeeeeeee.html	https://www.tonemachinesblog.com/2025/09/
