record_id	builder	marketed_identity	model_or_product	country	period	builder_confidence	status	evidence_summary	source_1	source_2
BUILDER-081	Firstman / Hillwood	Firstman; Multivox	Fuzzrite-era fuzz products / Big Jam Distortion OEM	Japan	Late 1960s-1980s	MEDIUM	RESEARCH_ONLY	Firstman/Hillwood remains an important Japanese manufacturer/brand lineage in the census. Existing archive evidence supports its role in fuzz and distortion production, but individual model chronology and OEM boundaries remain incomplete.	
BUILDER-082	Pearl Musical Instrument Co.	Pearl	CF-1 Cry Fuzz	Japan	1970s	HIGH	RESEARCH_VALIDATED	Pearl is retained as the product/builder identity for the documented CF-1 Cry Fuzz; deeper factory attribution is intentionally not inherited without evidence.	https://tcgakki.com/products/cf-1-cry-fuzz	
BUILDER-083	VEB Musikelektronik Klingenthal	Böhm	Trickverzerrer / Verzerrer	East Germany	1960s-1970s	MEDIUM	RESEARCH_ONLY	East German distortion/fuzz product attributed to the Klingenthal electronics organization; evidence remains sparse and model chronology is not yet complete.	https://www.rockboard.de/en/pedalPedia/VEB-Elektronik-Klingenthal/Trickverzerrer/397709173/	https://www.freestompboxes.org/viewtopic.php?t=16868
BUILDER-084	Caldironi Musica	G.I.S.; Goldsound; Cosmosound; Gun; Meazzi	Distortion Whau-Whau family	Italy	Late 1960s-1970s	HIGH	RESEARCH_VALIDATED	Caldironi is retained as the physical manufacturer behind a multi-brand Italian fuzz-wah family. Retail identities remain linked rather than duplicated as separate manufacturers.	https://www.effectsdatabase.com/model/gis/distortionwhauwhau	https://www.tonehome.de/goldsound/
BUILDER-085	JEN Elettronica	Ricken's	FR III Fuzz	Italy	Late 1970s	HIGH	RESEARCH_VALIDATED	The Ricken's FR III is documented as made by JEN in Pescara and is retained as a marketed identity under the JEN physical-manufacturer node.	https://www.tonehome.de/jen/ricken-s-fuzz-fr-iii/	https://www.effectsdatabase.com/model/rickens/fr3
BUILDER-086	Gretsch / Baldwin	Gretsch	Expandafuzz / Controfuzz	USA	Early 1970s	MEDIUM	CENSUS_ONLY	Gretsch/Baldwin marketing is established while physical manufacture remains unresolved. Competing Maestro/JEN hypotheses remain flagged rather than promoted.	https://www.tonemachinesblog.com/2012/06/gretsch-expandafuzz-1973.html	https://www.vintageguitarandbass.com/advertisements_effects.php
BUILDER-087	Earth Sound Research	Earth Sound Research	Graphic Fuzz	USA	1970s-1980s	MEDIUM	RESEARCH_ONLY	Historical amplifier/effects manufacturer with a documented Graphic Fuzz. Full dirt catalog remains to be enumerated.	
BUILDER-088	Roger Mayer Effects	Roger Mayer	Axis / Octavia / Voodoo fuzz families	UK	1960s-present	HIGH	CENSUS_ONLY	Designer lineage and later commercial manufacturing should remain separate. Dirt family baseline is established; complete catalog requires dedicated builder pass.	https://rogermayer.com/	
BUILDER-089	Jordan Electronics	Jordan	Bosstone / Boss Tone fuzz-gain	USA	1960s-1970s	HIGH	CENSUS_ONLY	Jordan's Bosstone/Boss Tone family remains a foundational American dirt-builder target, with future work needed on enclosure, distributor and production states.	
BUILDER-090	Arion	Arion	TUBULATOR and other dirt models	Japan	1980s-2000s	MEDIUM	CENSUS_ONLY	Arion is retained as a Japanese mass-market builder/brand. The next catalog pass should distinguish model revisions from relabelled OEM products.	
