canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
ZVEX Effects	Fuzz Factory	FUZZ	ENUMERATED	Foundational ZVEX fuzz family; hand-painted, Vexter and later production states require separate specimen work.	https://www.zvex.com/guitar-pedals/fuzz-factory-guitar-effects-pedal
ZVEX Effects	Fuzz Factory 7	FUZZ	ENUMERATED	Expanded seven-knob family state; preserve engraved/limited production states separately.	https://www.zvex.com/mod-bench
ZVEX Effects	Fat Fuzz Factory	FUZZ	ENUMERATED	Expanded Fuzz Factory family.	https://www.zvex.com/mod-bench
ZVEX Effects	Woolly Mammoth	FUZZ	ENUMERATED	Core bass/fuzz family; production variants require later audit.	https://www.zvex.com/mod-bench
ZVEX Effects	Woolly Mammoth 7	FUZZ	CANDIDATE	Variant naming requires verification before promotion.	https://www.zvex.com/guitar-pedals
ZVEX Effects	Mastotron	FUZZ	ENUMERATED	Bass/fuzz family product.	https://www.zvex.com/guitar-pedals
ZVEX Effects	Box of Rock	OVERDRIVE	ENUMERATED	Core drive family.	https://www.zvex.com/guitar-pedals
ZVEX Effects	Distortron	DISTORTION	ENUMERATED	Distinct distortion product in Box of Rock family.	https://www.zvex.com/guitar-pedals
ZVEX Effects	Super Duper 2-in-1	BOOST_OVERDRIVE_BOUNDARY	ENUMERATED	Gain product with boost/preamp role; retain near dirt boundary until role is normalized.	https://www.zvex.com/guitar-pedals
ZVEX Effects	Double Rock	DISTORTION	ENUMERATED	Dual distortion product.	https://www.zvex.com/guitar-pedals
ZVEX Effects	Instant Lo-Fi Junky	SCOPE_BOUNDARY	BOUNDARY	Modulation/sample-adjacent product; excluded from central dirt catalog.	https://www.zvex.com/guitar-pedals
ZVEX Effects	Vexter Fuzz Factory	FUZZ	ENUMERATED	Manufacturing/finish family state rather than a separate circuit lineage; retain for specimen identification.	https://www.zvex.com/guitar-pedals
ZVEX Effects	Vertical Fuzz Factory	FUZZ	ENUMERATED	Current enclosure/form-factor state.	https://www.zvex.com/mod-bench
ZVEX Effects	Reverse Fuzz Factory	FUZZ	ENUMERATED	Distinct fuzz family member.	https://www.zvex.com/mod-bench
ZVEX Effects	Silicon Fuzz Factory	FUZZ	ENUMERATED	Explicit silicon-labeled production state.	https://www.zvex.com/mod-bench
ZVEX Effects	Fuzz Probe	FUZZ	ENUMERATED	Fuzz family member with external proximity control.	https://www.zvex.com/guitar-pedals
ZVEX Effects	Machine	DISTORTION	ENUMERATED	High-gain distortion family.	https://www.zvex.com/guitar-pedals
ZVEX Effects	Super Hard On	BOOST_BOUNDARY	ENUMERATED	Boost product; keep outside central dirt count while preserving builder context.	https://www.zvex.com/guitar-pedals
ZVEX Effects	Box of Metal	DISTORTION	ENUMERATED	High-gain distortion family member.	https://www.zvex.com/guitar-pedals
ZVEX Effects	DuoVibe	SCOPE_BOUNDARY	BOUNDARY	Modulation family, not central dirt.	https://www.zvex.com/guitar-pedals
