canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
Ovaltone	Alchemy Driver	OVERDRIVE	ENUMERATED	Indexed overdrive model.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	Azure Dragon - Tube Overdrive	OVERDRIVE	ENUMERATED	Explicit tube overdrive model.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	B.B.Q. - Buffer Booster eQualizer	BOOST_SCOPE_BOUNDARY	BOUNDARY	Boost/buffer product retained for completeness, excluded from central dirt count.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	Black Tortoise - Distortion	DISTORTION	ENUMERATED	Explicit distortion model.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	BoosTerminus	BOOST_SCOPE_BOUNDARY	BOUNDARY	Boost-oriented product retained for completeness.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	Come And Go - High Quality Buffers	SCOPE_BOUNDARY	BOUNDARY	Buffer product, outside dirt scope.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	Fountain Overdrive	OVERDRIVE	ENUMERATED	Explicit overdrive model.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	FU?/ZZ? - Fuzz	FUZZ	ENUMERATED	Explicit fuzz model.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	GD-013 - Gravitational Drive Zero-Thirteen	OVERDRIVE	ENUMERATED	Drive model retained in dirt catalog.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	Gray Ghost - Distortion Blender for Guitar and Bass	DISTORTION_HYBRID	ENUMERATED	Explicit distortion/blender model for guitar and bass.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	Lime Comp	SCOPE_BOUNDARY	BOUNDARY	Compressor product, outside dirt count.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	MAGS Marsh Additional Gain Stage	BOOST_SCOPE_BOUNDARY	BOUNDARY	Additional gain stage retained as context, not central dirt count.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	Mud River	DIRT_CANDIDATE	ENUMERATED	Dirt/gain model retained pending narrower role verification.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	OD-Five 2 Cross	OVERDRIVE	ENUMERATED	Explicit overdrive family model.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	OD-Five 2 eXplosion	OVERDRIVE	ENUMERATED	Explicit overdrive family model.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	Shachihoko - Distortion	DISTORTION	ENUMERATED	Explicit distortion model.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	Terminus - Overdrive	OVERDRIVE	ENUMERATED	Explicit overdrive model.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	The Anchor	DIRT_CANDIDATE	ENUMERATED	Gain-oriented product retained pending narrower role verification.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	The IIIrd+ - The Legendary Proto-Preamplifier in a Box	OVERDRIVE_HYBRID	ENUMERATED	Preamplifier/gain product retained as dirt-adjacent.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	Vermillion Bird - Fuzz	FUZZ	ENUMERATED	Explicit fuzz model.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	White Face - Hybrid Tube Pre-Amp	SCOPE_BOUNDARY	BOUNDARY	Hybrid tube preamp; retain for builder context rather than central dirt count.	https://www.effectsdatabase.com/model/ovaltone
Ovaltone	White Tiger - Overdrive	OVERDRIVE	ENUMERATED	Explicit overdrive model.	https://www.effectsdatabase.com/model/ovaltone
