canonical_builder	identity_status	region	era_bucket	model	category	catalog_status	relationship_notes	source_trail
Blackfield Orchester-Elektronik	CANONICAL_CANDIDATE	West Germany	Late 1960s-early 1970s	Blackfield Fuzz	fuzz	INDEXED_RELATIONSHIP	OEM version of Schaller Fuzz; marketed separately under Blackfield name	https://www.effectsdatabase.com/model/blackfield/fuzz
Blackfield Orchester-Elektronik	CANONICAL_CANDIDATE	West Germany	1971	Flying Sound	fuzz-wah-phaser	INDEXED_RELATIONSHIP	Distinct Blackfield floor unit documented by Tonehome; do not merge with Schaller Fuzz	https://www.tonehome.de/blackfield/
Lemon StudioSound	CANONICAL	Germany	1978	Zuzz Thainer	fuzz-hybrid	INDEXED_RELATIONSHIP	Karlsruhe builder founded by Gerard Daleiden; product combines fuzz, sustainer and noise gate	https://www.tonehome.de/lemon-studiosound/zuzz-thainer/
Lemon StudioSound	CANONICAL	Germany	1977+	Sound Stretcher A	boundary	INDEXED_BASELINE_MAPPED	Period product-range evidence; not central dirt count	https://www.tonehome.de/lemon-studiosound/
Top Gear	CANONICAL_CANDIDATE	United Kingdom	1975-1977	Fuzz Sustain	fuzz-hybrid	INDEXED_RELATIONSHIP	UK-made rare combined Fuzz/Treble Boost pedal; keep distinct from Colorsound/Eurotec	https://tagboardeffects.blogspot.com/2016/08/top-gear-fuzz-sustain.html
fOXX / Ridinger Associates Inc.	CANONICAL_LINEAGE	USA (California)	1973-1976	Clean Machine	fuzz-overdrive	INDEXED_BASELINE_MAPPED	Tonehome attributes manufacture to Ridinger Associates Inc.; 1973 specimen and 1974 retail price documented	https://www.tonehome.de/foxx/clean-machine/
fOXX / Ridinger Associates Inc.	CANONICAL_LINEAGE	USA (California)	Early-mid 1970s	Footsystem FS300	fuzz-overdrive	INDEXED_RELATIONSHIP	Footsystem FS300 is documented as a rebadged fOXX Clean Machine	https://www.effectsdatabase.com/model/footsystem/fs300
Moreschi	CANONICAL	Italy	1970s	Wah-Fuzz	fuzz-wah	INDEXED_RELATIONSHIP	Gary Hurst design lineage; marketed by Italian accordion maker Moreschi; exact physical factory remains to be reconciled	https://www.amplifiedparts.com/tech-articles/moreschi-wah-fuzz-teardown
Earth Sound Research	CANONICAL	USA (New York)	1976	Graphic Fuzz	fuzz	INDEXED_BASELINE_MAPPED	Dated 1976 surviving product and dedicated builder record; independent ESR design history retained	https://www.tonemachinesblog.com/2011/10/earth-sound-research-graphic-fuzz.html ; https://www.effectsdatabase.com/model/earthsound/graphicfuzz
Bell Electrolabs	CANONICAL	United Kingdom	1975-1979	Fuzz	fuzz	INDEXED_RELATIONSHIP	Stan Wilson identified as designer by Tony Koorlander; Big Muff is cited as design ancestry, not manufacturer identity	https://www.blackguitars.com/bell-electrolabs.html
Kay / Uecks	UNRESOLVED	USA/Japan	1970s	Fuzz Tone	fuzz	DISCOVERY	Japanese-market Uecks relationship documented; physical builder of Kay Fuzz Tone remains unknown	https://www.tonemachinesblog.com/2026/07/kay-fuzz-tone-what-we-know.html
