builder	model	category	light_description	photo_source	status
ORGANIC SOUNDS	Organic Drive Hydra	Overdrive	Organic Sounds' first original overdrive, documented as a buffered-bypass design with broad low-gain response and fuzzy/woody sustain at higher gain; current and dealer exterior photography survives.	https://organic-sounds.com/collections/all ; https://www.miyaji-onlineshop.jp/c/effector/gb02_effector/gb02_eff02/llp-ef-2840500002115	CENTRAL
ORGANIC SOUNDS	Organic Drive Ares	Overdrive	High-gain companion to Hydra with a brighter, higher-gain voicing and fuzzy sustain; Japanese dealer documentation provides product description and exterior photography.	https://www.shimamura.co.jp/update/shops/umeda/guitar-bass/60795	CENTRAL
ORGANIC SOUNDS	Organic Drive Zeus	Overdrive	Wide-range Organic Sounds drive with a natural low-gain/preamp character and fat higher-gain drive; surviving dealer catalog includes exterior product imagery.	https://www.shimamura.co.jp/update/shops/umeda/guitar-bass/60795	CENTRAL
ORGANIC SOUNDS	Organic Drive CHRONOS	Overdrive	Organic Sounds flagship-era overdrive preserving vintage-oriented warmth with modern clarity; current official product catalog and Japanese dealers provide exterior imagery.	https://organic-sounds.com/collections/all ; https://www.shimamura.co.jp/update/shops/oita/amp-effector/39565	CENTRAL
ORGANIC SOUNDS	Organic Drive CHRONOS ZERO	Overdrive	Downsized Chronos variant tuned toward a drier, more open response; official and dealer documentation provide controls, use notes and exterior photography.	https://organic-sounds.com/collections/all ; https://store.ishibashi.co.jp/view/item/000000118100	CENTRAL
ORGANIC SOUNDS	Organic Drive Hades	Overdrive	Current Organic Sounds overdrive documented by Japanese dealers as a dry, classic-rock-oriented drive; exterior product photography survives in dealer catalog pages.	https://www.shimamura.co.jp/update/shops/shoubu/guitar-bass/20440	CENTRAL
ORGANIC SOUNDS	Organic Drive Hercules	Distortion	RAT-family-inspired Organic Sounds distortion developed from comparisons among vintage Rat production states; Japanese dealer documentation provides product description and photography.	https://www.shimamura.co.jp/update/shops/shoubu/guitar-bass/20440 ; https://www.shimamura.co.jp/update/shops/oita/amp-effector/39565	CENTRAL
ORGANIC SOUNDS	THE TOWER	Fuzz	Original Big Muff/Ram's Head-oriented Organic Sounds fuzz developed from the builder's own vintage reference collection; official page provides multiple exterior photographs and detailed product notes.	https://organic-sounds.com/collections/all/products/the-tower-2 ; https://store.ishibashi.co.jp/view/item/000000053826	CENTRAL
ORGANIC SOUNDS	RAIN STORM	Fuzz	Original Organic Sounds fuzz based on the builder's Buzzaround reference, using a documented silicon/germanium hybrid transistor arrangement; official page provides multiple exterior images.	https://organic-sounds.com/products/rain-storm	CENTRAL
ORGANIC SOUNDS	SUPE FUZZ / OC75	Fuzz	Vintage-oriented Organic Sounds fuzz product documented in the current catalog with OC75 designation; retained as a distinct product record pending deeper chronology.	https://organic-sounds.com/collections/all	CENTRAL_PENDING
KATANASOUND	Kamikaze Overdrive	Overdrive	Japanese handmade Katanasound overdrive from the builder's documented catalog of Western-inspired gain designs; surviving retail listings provide exterior product evidence.	https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands ; https://www.andybabiuksfabgear.com/whats-new-aiZQV/p/katanasound-super-bass-fuzz-bass-octave-fuzz-pedal	CENTRAL
KATANASOUND	Kamikaze Supreme Overdrive	Overdrive	Higher-spec Katanasound overdrive catalog model documented alongside Kamikaze Overdrive in Japanese boutique coverage.	https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands	CENTRAL
KATANASOUND	Raging Wave Classic Fuzz	Fuzz	Classic-oriented Katanasound fuzz preserved as a distinct catalog model in Japanese boutique-builder documentation.	https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands	CENTRAL
KATANASOUND	Furious Man Multifaceted Fuzz	Fuzz	Three-silicon-transistor Katanasound fuzz with Bias, Volume, Fuzz and Duty controls plus Buff/Kill switching; surviving retail/demo photography documents the physical pedal.	https://www.guitarpedalx.com/news/2023-july-pedal-chain-update---episode-vii---fuzz-buzz ; https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands	CENTRAL
KATANASOUND	Super Bass Octave Fuzz	Fuzz	Japanese-made bass octave fuzz with documented builder statement emphasizing hand-made construction and selected parts; surviving retail specimens provide exterior photography.	https://www.reverb.com/item/3283218-katanasound-super-bass-fuzz-bass-octave-fuzz-pedal ; https://www.andybabiuksfabgear.com/whats-new-aiZQV/p/katanasound-super-bass-fuzz-bass-octave-fuzz-pedal	CENTRAL
KATANASOUND	Thundercloud Overdrive Fuzz	Fuzz Distortion	Katanasound hybrid overdrive/fuzz catalog model preserved from Japanese boutique-builder coverage; exact historical production corridor remains for later reconciliation.	https://www.guitarpedalx.com/news/gpx-blog/an-a-z-of-less-well-known-japanese-boutique-pedal-brands	CENTRAL_PENDING
