MOD-0045	Walrus Audio	Fundamental Series Drive	Original	2023-present	Product family / operating modes	Three-slider overdrive in matte black diecast enclosure; Smooth, Crunch and Bright modes; top-mounted input/output and side-mounted power; 9VDC 100mA minimum	VERIFIED	https://www.walrusaudio.com/products/fundamental-series-drive	Record mode switch and slider layout as primary exterior identification clues; manufacturer later marks product discontinued.
MOD-0046	Walrus Audio	Fundamental Series Distortion	Original	2023-present	Product family / operating modes	Three-slider distortion in matte black diecast enclosure; Dark, Si and LED modes; top-mounted input/output and side-mounted power; 9VDC 100mA minimum	VERIFIED	https://www.walrusaudio.com/products/fundamental-series-distortion	Distinguish from Fundamental Drive/Fuzz by ink color, mode labels and product name.
MOD-0047	Walrus Audio	Fundamental Series Fuzz	Original	2023-present	Product family / operating modes	Three-slider fuzz in matte black diecast enclosure; Gate, Classic and Mid+ modes; top-mounted input/output and side-mounted power; 9VDC 100mA minimum	VERIFIED	https://www.walrusaudio.com/products/fundamental-series-fuzz	Mode labels and enclosure graphics are strong identification markers.
MOD-0048	Kernom	MOHO	Original	2023-present	New product	Analog fuzz workstation with continuous MOOD morphing, PRE/POST TONE, FUZZ, VOLUME and ELECTRICITY control; integrated octave up/down and ring modulation; MIDI preset control and expression input; announced NAMM 2023 and targeted July 2023 release	VERIFIED	https://kernom.com/blogs/infos/kernom-rocked-the-2023-namm-show; https://kernom.com/products/moho	Treat digital control as product architecture while preserving analog fuzz signal-path claim from manufacturer.
MOD-0049	ThorpyFX	The Dane	MKII	2023-present	Revision / enclosure + function	Five-year refresh with smaller black anodised aluminium enclosure; retains dual Drive/Boost layout and adds Boost DP/HC clipping selector for heavier clipping	VERIFIED	https://thorpyfx.com/en-us/collections/modulation-pedals-copy/products/the-dane-mkii	Clear MKI/MKII exterior and control distinction; MKII adds HC option.
MOD-0050	Fairfield Circuitry	~900	Original	2023-era/current	New product / lineage	Four-knob fuzz with cascading JFET gain stages; INPUT, FUZZ, BIAS and VOLUME controls; explicitly traces lineage to discontinued Four Eyes Fuzz	VERIFIED	https://fairfieldcircuitry.com/products/900	Record as descendant lineage from Four Eyes, not automatically the same product or circuit.
MOD-0051	Champion Leccy	The Divvy	V3	2023 return batch	Revision / return-to-production	V3 uses two knobs plus a voicing switch; returned to production after earlier discontinuation; builder states the Rocktar Fuzz was based on the Divvy	VERIFIED	https://championleccy.com/2023/06/23/summer-leccy-2023/	Production return is historically meaningful even without a new circuit; document V3 appearance/control clues separately.
MOD-0052	Champion Leccy	The Dunsh	Original	2023-present	Product / production state	Amp-smashing fuzz-stortion with gating and EQ options; 2023 builder update identifies Dunsh as an End of Days Fuzz project descendant; later production includes UV-printed and blemished color examples	VERIFIED	https://championleccy.com/product/the-dunsh/; https://championleccy.com/2023/06/23/summer-leccy-2023/	Track finish/print changes separately from product identity.
MOD-0053	Drunk Beaver	Distortion	latest 2023 edition	2023	Revision / generation evidence	DS-1-derived distortion line with multiple generations; 2023 reporting documents latest edition with updated controls and changes around the Muff gain stage compared with V2; current builder page documents multi-option clipping, mids and op-amp selection	VERIFIED	https://drunk-beaver.rocks/products/distortion; https://www.guitarpedalx.com/news/news/drunk-beavers-latest-ds-1-inspired-distortion-pedal-really-perfects-and-extends-the-format	Use V1/V2/V2.5/latest generation labels cautiously and preserve source-specific numbering.
MOD-0054	Black Mass Electronics	1312 Distortion	V3	2023-era/current	Revision / power architecture	Eight-position clipping rotary; internal charge pump raises 9V to 18V for increased headroom; external Level, Filter, Gain and Clip controls; manual distinguishes V3 from V1&V2	VERIFIED	https://blackmasselectronics.com/products/1312-distortion	Internal DIP setting is not an exterior clue, but charge-pump architecture and control layout are important generation evidence.
