cluster	marketed_identity	physical_builder	relationship_type	status	confidence	primary_source	note
JEN Italian Tone Bender family	Jen Fuzz	JEN Elettronica	CANONICAL_BUILDER	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/jen/diecast/fuzz	Jen Pescara is the physical builder; retain Jen as its own marketed identity.
JEN Italian Tone Bender family	Jen Tone Bender	JEN Elettronica	CANONICAL_BUILDER	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/jen/diecast/tonebender	Same Italian builder/family as Jen Fuzz, but separate catalog identity.
JEN Italian Tone Bender family	Elka Fuzz	JEN Elettronica	OEM_REBRAND	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/elka/fuzz	Elka is marketed identity; Jen is builder.
JEN Italian Tone Bender family	Luxor Fuzz	JEN Elettronica	OEM_REBRAND	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/luxor/fuzz	Luxor remains separate marketed record despite identical Jen-built family.
JEN Italian Tone Bender family	Nova Tone Bender	JEN Elettronica	OEM_REBRAND	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/nova/tonebender	Nova remains separate marketed record.
JEN Italian Tone Bender family	Unicord Fuzz	JEN Elettronica	OEM_REBRAND	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/unicord/fuzz	Unicord distribution/market identity remains distinct from Jen physical builder.
Schaller German Fuzz family	Schaller Fuzz	Schaller Electronic	CANONICAL_BUILDER	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/schaller/fuzz	Schaller is both marketed identity and physical builder for its own fuzz.
Schaller German Fuzz family	Höfner No. 539 Fuzz/Distortion	Schaller Electronic	OEM_REBRAND	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/hofner/fuzz	Höfner branded pedal is documented as Schaller-built.
Schaller German Fuzz family	Kent 6400 Distorter	Schaller Electronic	OEM_REBRAND	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/kent/schaller/6400	Kent 6400 is a Schaller OEM version; retain Kent as marketed/distribution identity.
Schaller German Fuzz family	Blackfield Fuzz	Schaller Electronic	OEM_REBRAND	RESEARCH_VALIDATED	HIGH	https://www.effectsdatabase.com/model/blackfield/fuzz	Blackfield marketed the Schaller-derived OEM product.
Schaller German Fuzz family	Van Hall Fuzz	Schaller Electronic	OEM_REBRAND	RESEARCH_CANDIDATE	MEDIUM	https://www.effectsdatabase.com/model/schaller/fuzz	Effects Database groups Van Hall with Schaller OEM fuzz family; retain qualified until a model-specific Van Hall page/source is reconciled.
JEN vs Thomas Organ Vox	Vox V828 / V8281	JEN Elettronica	OEM_MANUFACTURING	RESEARCH_VALIDATED	HIGH	https://www.voxshowroom.com/us/misc/fuzzwah.html	JEN built Vox effect pedals in Italy; Thomas Organ U.S. production is a separate model-specific path and must not be inferred across all Vox effects.
