REC-081	DOD	Overdrive Preamp	Large-box predecessor	1972-1974	Foundational chronology	Research places the original DOD Overdrive Preamp in the early 1970s before the compact 250 designation; exact introduction year remains uncertain.	RESEARCH	https://www.bonedo.de/artikel/die-geschichte-des-overdrive-pedals/	Do not backdate from later 250 examples without dated specimens or primary catalogs.
REC-082	DOD	Overdrive Preamp 250	Grey box	1978-1979	Generation / enclosure	The compact grey-box 250 is documented as a late-1970s DOD production state and is distinct from the earlier large-box Overdrive Preamp.	VERIFIED	https://www.sweetwater.com/used/listings/308637-used-dod-overdrive-preamp-250-1978-1979-gray-box	Use enclosure and date-marked specimen evidence together; collector names are not official production designations.
REC-083	DOD	Overdrive Preamp 250	Yellow box	1980 onward	Generation / enclosure	DOD changed the 250 to the familiar yellow enclosure around 1980, creating a major external production state.	RESEARCH	https://wiki.fractalaudio.com/wiki/index.php?title=Drive_block	Exact first yellow-box serial range remains unresolved.
REC-084	MXR	Distortion +	Script / early production	1974-1975	Generation / branding	Early Distortion + examples are associated with the MXR script-logo period, preceding the later block-logo production.	RESEARCH	https://www.reverb.com/item/92194382-mxr-distortion-plus-script-logo-bud-box-1974-s-n-403176-usa	A dated resale specimen is useful supporting evidence but not equivalent to a factory production ledger.
REC-085	MXR	Distortion +	Block Logo Period 1	1975-1981	Generation / branding	The Distortion + continued through MXR's first block-logo period, a broader production era than the earliest script-logo units.	RESEARCH	https://wiki.sizzltek.com/content/wikipedia_en_all_maxi_2025-08/MXR	Preserve logo era separately from exact electronics revisions.
REC-086	MXR	Distortion +	Block Logo Period 2	1981-1984	Generation / production	MXR's second block-logo period began in 1981 and added LEDs and AC adapter connections across the reference-series family before production ended in 1984.	RESEARCH	https://wiki.sizzltek.com/content/wikipedia_en_all_maxi_2025-08/MXR	Distortion + should inherit the period framework but model-specific transitions still need specimen reconciliation.
REC-087	Maxon	OD808 Overdrive	Early compact production	1979	Foundational chronology	Research places the Maxon OD808 design/release in 1979, with early compact enclosure examples predating the later Ibanez-style housing.	RESEARCH	https://aionfx.com/project/stratus-classic-overdrive/	Date-code evidence establishes earliest possible manufacture rather than exact assembly date.
REC-088	Ibanez	TS808 Tube Screamer	Late-1979 narrow enclosure	1979-1980	Generation / enclosure	Early TS808 production included a narrow enclosure state; later examples moved into the familiar Ibanez-style housing.	RESEARCH	https://www.analogman.com/tshist.htm	Keep narrow-box examples distinct from later TS808 specimens while preserving family continuity.
REC-089	BOSS	OD-1 OverDrive	Original compact production	1977-1985	Production chronology	BOSS introduced the OD-1 in 1977 and discontinued it in July 1985; the model became the direct ancestor to the SD-1 lineage.	VERIFIED	https://articles.boss.info/40-years-of-the-boss-sd-1-super-overdrive/	Use the BOSS-documented production window rather than older third-party end dates.
REC-090	BOSS	SD-1 Super OverDrive	Original production	1981 onward	Foundational chronology	BOSS introduced the SD-1 in 1981 as the successor development to the OD-1, adding a tone-control function and remaining in continuous production.	VERIFIED	https://www.boss.info/us/products/box-40/	Country, serial and component transitions remain separate specimen tasks.
REC-091	BOSS	DS-1 Distortion	Made in Japan	1978-1989	Generation / country	The DS-1 debuted in 1978 and early production was made in Japan; later factory and component transitions should be cataloged as separate production states.	RESEARCH	https://stompboxelectronics.com/2022/12/09/history-of-the-boss-ds-1/	Do not infer exact Japan end date solely from component-date evidence.
REC-092	BOSS	DS-1 Distortion	Made in Taiwan	1990 onward	Generation / country	Specialist production research identifies a 1990 transition to Made-in-Taiwan DS-1 production, establishing a major country-of-origin generation.	RESEARCH	https://stompboxelectronics.com/2022/12/09/history-of-the-boss-ds-1/	Treat 1990 as a research anchor pending primary BOSS documentation.
REC-093	Pro Co	RAT	Bud Box	1978	Specimen / production state	The first hand-built RATs were produced in 1978 in an off-the-shelf project enclosure; collector research identifies twelve total, including one prototype.	RESEARCH	https://griffineffects.com/files/articles/rathistory/budboxrat.php	Quantity remains secondary-source research; preserve the Bud Box as a distinct specimen class.
REC-094	Pro Co	RAT	Big Box Version 1	1979-1981	Generation / enclosure	The first mass-production RAT used a custom large wrap-around enclosure and initially labeled the tone control Tone.	VERIFIED	https://www.griffineffects.com/files/articles/rathistory/bigboxv1.php	Very early logo and knob changes overlap; do not treat one cosmetic feature as an absolute cutoff.
REC-095	Pro Co	RAT	Big Box Version 2	1981-1983	Generation / control presentation	The 1981 Big Box state changed the control labeling from Tone to Filter and altered the control behavior presentation while retaining the large enclosure.	VERIFIED	https://www.griffineffects.com/files/articles/rathistory/bigboxv2.php	Record control-label changes as specimen evidence.
REC-096	Pro Co	RAT	Small Box White Face	1984-1986	Generation / enclosure	The 1984-1986 Small Box RAT adopted a more compact U-shaped enclosure and white-on-black/black-on-white logo presentation known to collectors as White Face.	RESEARCH	https://griffineffects.com/files/articles/rathistory/smallbox.php	The White Face label is collector terminology, not a period factory name.
REC-097	Pro Co	RAT	Small Box Black Face	1986-1988	Generation / enclosure	The Small Box RAT continued with a reversed black-face logo presentation from 1986 through the late 1980s before the RAT2 lineage.	RESEARCH	https://griffineffects.com/files/articles/rathistory/smallbox.php	Treat logo orientation as one identification field alongside enclosure and PCB generation.
REC-098	Electro-Harmonix	Big Muff Pi	Sovtek / Russian Civil War	1991 onward	Generation / geography	EHX's historical version guide identifies Russian/Sovtek Civil War Big Muffs beginning around 1991 as a distinct later production family from the U.S. vintage generations.	VERIFIED	https://www.ehx.com/topic/big-muff-versions-and-tone-differences/	Separate Russian production by enclosure/graphics and production origin; avoid conflating it with Triangle/Ram's Head history.
