canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
Wampler	Euphoria	OVERDRIVE	ENUMERATED	Core Wampler overdrive; retain historical revisions separately.	https://www.wamplerpedals.com/products/c/distortion-overdrive/
Wampler	Pinnacle	DISTORTION	ENUMERATED	British-style distortion family; variants require state reconciliation.	https://www.wamplerpedals.com/products/c/distortion-overdrive/
Wampler	Pinnacle Deluxe	DISTORTION	ENUMERATED	Expanded Pinnacle family state.	https://www.wamplerpedals.com/products/c/distortion-overdrive/
Wampler	Pinnacle Deluxe v2	DISTORTION	ENUMERATED	Explicit later production state.	https://www.wamplerpedals.com/products/c/distortion-overdrive/
Wampler	Plextortion	DISTORTION	ENUMERATED	Historical distortion family; later production states need catalog audit.	https://www.wamplerpedals.com/downloads/
Wampler	Plexi-Drive	OVERDRIVE_DISTORTION	ENUMERATED	Amp-style gain family; preserve variants separately.	https://www.wamplerpedals.com/downloads/
Wampler	Plexi-Drive Mini	OVERDRIVE_DISTORTION	ENUMERATED	Current miniaturized family member.	https://www.wamplerpedals.com/products/c/distortion-overdrive/
Wampler	Dracarys	DISTORTION	ENUMERATED	High-gain distortion family.	https://www.wamplerpedals.com/downloads/
Wampler	SLOstortion	DISTORTION	ENUMERATED	Signature/higher-gain distortion family.	https://www.wamplerpedals.com/downloads/
Wampler	Triple Wreck	DISTORTION	ENUMERATED	High-gain distortion family.	https://www.wamplerpedals.com/downloads/
Wampler	Sovereign	OVERDRIVE_DISTORTION	ENUMERATED	Historical dirt family; exact category retained broadly pending deeper audit.	https://www.wamplerpedals.com/downloads/
Wampler	Clarksdale	OVERDRIVE	ENUMERATED	Historical overdrive model.	https://www.wamplerpedals.com/downloads/
Wampler	Belle Overdrive	OVERDRIVE	ENUMERATED	Current overdrive family.	https://www.wamplerpedals.com/products/t/overdrive/
Wampler	Moxie	OVERDRIVE	ENUMERATED	Current overdrive family.	https://www.wamplerpedals.com/products/t/overdrive/
Wampler	Pantheon	OVERDRIVE	ENUMERATED	Current overdrive family.	https://www.wamplerpedals.com/products/t/overdrive/
Wampler	Pantheon Deluxe	OVERDRIVE	ENUMERATED	Expanded family member.	https://www.wamplerpedals.com/products/c/distortion-overdrive/
Wampler	Tumnus	OVERDRIVE	ENUMERATED	Core overdrive family.	https://www.wamplerpedals.com/products/t/overdrive/
Wampler	Germanium Tumnus	OVERDRIVE	ENUMERATED	Explicit germanium production state.	https://www.wamplerpedals.com/products/t/overdrive/
Wampler	Germanium Tumnus Deluxe	OVERDRIVE	ENUMERATED	Expanded current family member.	https://www.wamplerpedals.com/products/c/distortion-overdrive/
Wampler	Ratsbane	FUZZ_DISTORTION_BOUNDARY	ENUMERATED	RAT-family-inspired dirt product; retain distinct from ProCo and category as current manufacturer wording permits.	https://www.wamplerpedals.com/products/c/fuzz/
Wampler	Velvet Fuzz	FUZZ	ENUMERATED	Historical/current fuzz family member.	https://www.wamplerpedals.com/products/c/fuzz/
Wampler	Cryptid Fuzz	FUZZ	ENUMERATED	Current fuzz family member.	https://www.wamplerpedals.com/products/c/fuzz/
Wampler	Fuzztration	FUZZ	ENUMERATED	Historical fuzz family member documented in Wampler manuals.	https://www.wamplerpedals.com/downloads/
Wampler	Leviathan Fuzz	FUZZ	ENUMERATED	Historical fuzz family member documented in Wampler manuals.	https://www.wamplerpedals.com/downloads/
Wampler	Tweed '57	OVERDRIVE	ENUMERATED	Amp-style gain product documented in historical manuals.	https://www.wamplerpedals.com/downloads/
