record_id	brand	model_name	variant_or_state	production_period	kind	differences	status	source_url	notes
REC-227	Death By Audio	Octave Clang	Original production state	2006-2010s	Model / chronology	Effects Database published the Octave Clang on April 20, 2006, documenting it as a Death By Audio octave-fuzz pedal; current DBA material identifies today’s V2 as a return/revision of the long-discontinued original.	RESEARCH	https://www.effectsdatabase.com/model/deathbyaudio/octaveclang	Use 2006 as a documentary anchor, not necessarily the first sale date. Keep original Octave Clang separate from current V2.
REC-228	Death By Audio	Fuzz War	Early production state	2008	Model / chronology	A March 11, 2008 contemporary forum announcement describes a new DBA Fuzz War with pre-orders and an end-of-March release target, providing a strong 2008 retail-era anchor.	RESEARCH	https://www.talkbass.com/threads/death-by-audio-fuzz-war.414681/	Contemporary discussion is strong chronology evidence; preserve later design/graphics states separately if specimens surface.
REC-229	Devi Ever FX	Soda Meiser	Early production state	2007	Model / chronology	Effects Database published the Soda Meiser on May 24, 2007 and documents it as a high-gain Devi Ever fuzz with a distinct product identity.	VERIFIED	https://www.effectsdatabase.com/model/deviever/sm	Publication date anchors documented retail presence; exact first-sale date remains broader.
REC-230	Devi Ever FX	Torn's Peaker	Early production state	2007	Model / chronology	Effects Database published Torn's Peaker on May 24, 2007 and documents its movement from overdrive/distortion into fuzz as a distinct Devi Ever product.	VERIFIED	https://www.effectsdatabase.com/model/deviever/tp	Keep the early two-control and one-knob/switch states as specimen-led subrecords later.
REC-231	MI Audio	Tube Zone Overdrive	First commercial pedal / early v1-v2	2005-2008	Model / chronology	MI Audio describes Tube Zone as its first commercial pedal and says the project grew from nearly a decade of experimentation, including a first Tube Zone built in 1995; Effects Database documents v1/v2 material from 2006-2008.	VERIFIED	https://www.effectsdatabase.com/model/miaudio/tubezone	Separate design-origin year 1995 from commercial and documented retail-era dates.
REC-232	MI Audio	Blues Prototype	Prototype-to-production transition	2005-2006	Edition / chronology	MI Audio explains that the Blues Prototype emerged after unused Blue Boy PCBs were repurposed into bare-aluminum pedals sold at cost; the unexpected popularity turned the prototype into a sought-after early MI Audio object.	VERIFIED	https://www.effectsdatabase.com/model/miaudio/bluespro	Keep Blues Prototype distinct from later Blues Pro production.
REC-233	Black Arts Toneworks	Pharaoh	Founding production state	2009-2010	Model / chronology	A Japanese importer history states Black Arts Toneworks was founded in 2009 and traces its beginning to Mark Wentz modifying a Big Muff-derived pedal that became the Pharaoh; contemporary 2010 Black Arts posts document active Pharaoh builds.	RESEARCH	https://lep-international.jp/en/collections/black-arts-toneworks	Use 2009-2010 as the earliest supported window; exact first-sale date and earliest enclosure states remain specimen targets.
REC-234	Way Huge	Swollen Pickle	Original production state	1990s-1999	Model / chronology	Contemporary retrospective material identifies the original Swollen Pickle as a 1990s Way Huge production fuzz and distinguishes it from the later Dunlop-era MkII reissue; Way Huge closed in 1999.	RESEARCH	https://www.yumpu.com/en/document/view/59952593/365-guitars-amps-amp-effects-you-must-play/777	Keep original 1990s Swollen Pickle separate from MkII and later Smalls descendants.
REC-235	Catalinbread	Super Chili Picoso	Founding production state	June 2003-2008	Model / chronology	Catalinbread identifies the Super Chili Picoso as the first Catalinbread-branded pedal, first made for ToneFactor in June 2003; its company timeline places the early production state before the 2008 graphics change.	VERIFIED	https://catalinbread.com/pages/about	Use June 2003 as the founding retail anchor; distinguish early decal graphics from later Lexan-faceplate and Legacy Series states.
REC-236	Catalinbread	SFT	Early production state	2008-2010	Model / chronology	Catalinbread’s own timeline places the SFT among the successful 2008-2009 releases, while the company history records a transition from decals to Lexan faceplates in 2008 and from Lexan to two-color silkscreen in 2010.	RESEARCH	https://effectsdatabase.com/model/catalinbread	Model launch is documented broadly; exact first-sale date and earliest graphics state remain specimen targets.
REC-237	Catalinbread	Merkin Fuzz	Early production state	2008-2010	Model / chronology	Catalinbread’s timeline explicitly places the Merkin Fuzz among the successful releases of 2008-2009, making it a useful early-fuzz marker inside the company’s first expansion period.	VERIFIED	https://effectsdatabase.com/model/catalinbread	Keep early graphics and later revisions separate when specimen evidence permits.
REC-238	Keeley Electronics	Java Boost	Early production state	2005	Model / chronology	Contemporary product documentation published in 2005 describes the Java Boost as a germanium treble booster and identifies limited Mullard OC44/CV7003 stock, providing a period retail-state anchor.	RESEARCH	https://www.effectsdatabase.com/model/keeley/javaboost	Publication date anchors documented retail presence; exact first-sale date remains unresolved.
REC-239	Keeley Electronics	Compressor	October 2005 build state	2005	Generation / chronology	Contemporary Keeley documentation states that compressors built from October 2005 added an Input Sensitivity control and had the 9V jack relocated to the top end, giving a clear specimen-level production boundary.	VERIFIED	https://www.effectsdatabase.com/model/keeley/compressor	Context-only builder-generation record; do not count as dirt.
REC-240	Skreddy Pedals	Pig Mine	First outsourced-board production state	January-May 2009	Generation / chronology	Skreddy’s builder timeline states that January 2009 was the first attempt to outsource circuitboard assemblies, beginning with the initial run of Pig Mines; Effects Database published the Pig Mine in May 2009.	VERIFIED	https://www.effectsdatabase.com/model/skreddy/pigmine	Important production-method milestone; retain the first outsourced run separately from later local-assistance states.
REC-241	EarthQuaker Devices	Dirt Transmitter Legacy Reissue	Limited legacy reissue	2021	Edition / chronology	EarthQuaker describes the Legacy Reissue as a limited 1000-unit worldwide return of the discontinued Dirt Transmitter, preserving the four-control Level/Fuzz/Tone/Bias format and explicitly separating it from the original small-enclosure three-control units.	VERIFIED	https://www.earthquakerdevices.com/dirt-transmitter-legacy-reissue	Do not collapse the 2021 limited reissue into the original 2008 production generation.
