canonical_entity	marketed_or_related_name	relationship_type	evidence_state	confidence	archive_treatment	notes
Shin-Ei	Honey FY-6 Baby Crying Fuzz	SUCCESSOR/OEM_LINEAGE	VERIFIED_PRIMARY	HIGH	LINK_NOT_MERGE	Shin-Ei's current historical page identifies the 1967 Honey FY-6 as the first incarnation and says Shin-Ei branded FY-6 units in 1968.
Shin-Ei	Shin-Ei FY-6 Super Fuzz	CANONICAL_PRODUCT	VERIFIED_PRIMARY	HIGH	CANONICAL	Current Shin-Ei history explicitly dates the branded FY-6 to 1968.
Shin-Ei	Companion FY-6	MARKETED_ALIAS	VERIFIED_SECONDARY	HIGH	LINK_NOT_MERGE	Historical coverage and Effects Database support Companion-branded FY-6 examples.
Shin-Ei	Univox Super-Fuzz FY-6 / U-1093	OEM_OR_BADGE_ENGINEERED	VERIFIED_SECONDARY	HIGH	LINK_NOT_MERGE	Vintage Guitar and historical coverage describe Univox Super-Fuzz and Uni-Fuzz products as sourced from Shin-Ei; exact retail-state chronology remains separate.
Shin-Ei	Apollo / JAX / Teisco / Mica / Royal / Rands and others	LICENSED_OR_PRIVATE_LABEL_CANDIDATE	DISCOVERY	MEDIUM	LINK_AS_CANDIDATE	Historical lists enumerate many marketed FY-6 names, but brand-by-brand factory proof should be retained individually rather than universalized.
Shin-Ei	Honey Psychedelic Machine	ANCESTOR_HOUSING	VERIFIED_SECONDARY	MEDIUM	RELATED_BOUNDARY	The multi-effect enclosure predates the standalone FY-6 and should not be counted as the same retail pedal.
JEN Elettronica	JEN Double Sound	CANONICAL_PRODUCT	VERIFIED_SECONDARY	HIGH	CANONICAL	Effects Database indexes the JEN Double Sound as an Italian fuzz-wah product.
JEN Elettronica	Vox 9-3700 Stereo Fuzz-Wah	OEM_MARKETED_PRODUCT	VERIFIED_SECONDARY	HIGH	LINK_NOT_MERGE	Effects Database links the Vox 9-3700 to the JEN Double Sound family; Vox Showroom warns that some Vox fuzz-wah models were Thomas Organ California-made, so model-specific attribution is required.
JEN Elettronica	Thomas Organ 9-3701 Cry Baby Stereo Fuzz-Wah	OEM_MARKETED_PRODUCT	VERIFIED_SECONDARY	MEDIUM	LINK_NOT_MERGE	Retain Thomas Organ as marketed/manufacturer label while preserving possible JEN lineage as model-specific evidence, not blanket attribution.
JEN Elettronica	Luxor Double Sound	PRIVATE_LABEL	VERIFIED_SECONDARY	HIGH	LINK_NOT_MERGE	Effects Database explicitly identifies Luxor Double Sound as JEN-made and part of a wider Double Sound family.
JEN Elettronica	Dallas-Arbiter Fuzz Wah Face	OEM_OR_SHARED_PRODUCTION	VERIFIED_SECONDARY	MEDIUM	LINK_NOT_MERGE	Effects Database identifies some models as JEN-made; exact model/period boundaries remain unresolved.
JEN Elettronica	Electra 1245 Fuzz Wa-Wa / Elka Fuzz Wah / Unicord Wah Fuzz / JHS Triofex	PRIVATE_LABEL_OR_REBRAND	DISCOVERY_TO_VERIFIED_SECONDARY	MEDIUM	SEPARATE_RECORDS	Treat each retail name as separately searchable; do not merge without specimen/model evidence.
Maxon / Nisshin Onpa	Ibanez / Maxon OD-series relationships	OEM_MANUFACTURER_RELATIONSHIP	VERIFIED_PRIMARY_AND_SECONDARY	HIGH	LINK_NOT_MERGE	Keep Ibanez and Maxon retail identities distinct while recording Nisshin Onpa manufacturing lineage.
Teisco	Teisco Fuzz Machine	CANONICAL_MARKETED_PRODUCT	VERIFIED_SECONDARY	MEDIUM	CANONICAL	Maintain as distinct from Wau Wau Fuzz; historical alias lists are not sufficient to merge them.
Teisco	Ibanez Standard Fuzz No. 59 / Bruno / Mica / Marlboro Wailer / Antoria / Aria Diamond	MARKETED_OEM_FAMILY_CANDIDATE	DISCOVERY	MEDIUM	LINK_AS_CANDIDATE	Potential wider OEM family reported by specialist historical sources; model-by-model physical confirmation required.
Coron	Coron Distortion 10/15	CANONICAL_PRODUCT	VERIFIED_SECONDARY	HIGH	CANONICAL	Coron catalog anchor from established specialist coverage.
Coron	Grant / Storm / Asama / Seiwa / Bias / KMD / Labo / Memphis / MX Four / Nashville	OEM_MARKETED_FAMILY	VERIFIED_SECONDARY	MEDIUM	SEPARATE_RECORDS	Retain marketed names as relationship nodes; individual model/factory proof varies.
Sobbat	DB-1 / DB-1S	CANONICAL_FAMILY_WITH_VARIANTS	VERIFIED_SECONDARY	HIGH	LINK_VARIANTS	Existing archive separates DB-1 and DB-1S production states where documentation supports it.
Sobbat	DB-2 / DB-2S	CANONICAL_FAMILY_WITH_VARIANTS	VERIFIED_SECONDARY	HIGH	LINK_VARIANTS	Existing archive separates DB-2 and DB-2S production states where documentation supports it.
Sobbat	DB-4 / DB-4R	CANONICAL_FAMILY_WITH_VARIANTS	VERIFIED_SECONDARY	HIGH	LINK_VARIANTS	Existing archive separates DB-4 and DB-4R production states where documentation supports it.
